(政府捐助)財團法人社會福利慈善事業基金會,['104348']
年底志願服務金、銀、銅質徽章獎獲獎人數,['127143']
年底托育人員人數,['104336']
年底旅行業從業人數,['104296']
年底易銷贓場所負責人,['104312']
年底殯葬服務業負責人,['127106']
年底民間團體理事長人數,['127152']
年底民間警力人數,['104318']
年底污水廠員工人數,['127136']
年底漁會會員人數,['127123']
年底無障礙之家家民人數,['104289']
年底獨居老人(列冊需關懷)人數,['104334']
年底現有公司登記家數負責人性別比率,['127122']
年底社區發展協會理事長人數,['127151']
年底老人福利促進小組委員人數,['104319']
年底身心障礙者權益保障推動小組委員人數,['104288']
年底辦理身心障礙者就業促進運用人力,['127079']
年底長期照護、養護及安養機構收容人數,['104332']
年底長期照顧服務人員人數,['104335']
年底青少年服務員人數,['127145']
年底高級中等以下學校家長會,['127115']
年底高雄捷運司機人數,['101932']
年度施政績效成果報告,['43864']
年度查核成果成績,['47059']
年齡別及總生育率,['127061']
幼兒園幼生數,['127109']
幼兒園教保服務人員人數,['127107']
廉政宣導件數一覽表及彙整表,['75718']
廢棄物清理人員數,['127135']
廢食用油清除機構名單,['87274']
建物第1次登記統計,"['43815', '46855', '77843', '87196', '98952', '117668']"
建築物立體綠化,['87705']
弱勢兒童及少年生活扶助辦法補助人數,['104276']
弱勢兒童及少年醫療補助計畫補助人數,['104279']
弱勢單親家庭扶助辦法申請人數,['104277']
彌陀區A3交通事故資料,['114070']
役男免役禁役緩徵處理情形表,"['47061', '104961', '104963']"
役男出境及逾期不歸人數,"['106110', '106111', '106112']"
役男徵兵檢查BMI值統計表,['78043']
役男徵兵檢查人數統計表,"['47065', '104954', '104956', '104957', '104958']"
役男徵兵檢查體位判等因素分析統計表,"['86859', '104893']"
役男驗退、停訓處理人數統計表,['78042']
徵收工程,['93832']
徵解地政規費,['128942']
心理加油站服務據點,['86401']
心理諮商機構,['43827']
志願服務推展-志願服務資源中心,['128162']
忠烈祠入祠牌位數,['47064']
忠烈祠現有牌位數,['127754']
急救護無生命徵象成功人數統計表,['87070']
急救責任醫院,['43863']
急救責任醫院分級與急診、AMI、CVA處置時段清冊,['43824']
急難救助辦法申請人數,['104353']
性侵害被害人數,['104303']
性侵害被害人補助人數,['127147']
性別主流化統計數據,['47042']
愛河水域收費標準,['87713']
愛滋指定醫事機構,['86303']
愛滋病匿篩服務點,['102105']
應變中心開設0520豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122151']
應變中心開設0719豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122150']
應變中心開設0801豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122149']
應變中心開設0806豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122148']
應變中心開設0808豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122147']
應變中心開設0815豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122146']
應變中心開設0820豪雨人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122145']
應變中心開設0823白鹿颱風人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122144']
應變中心開設丹娜絲颱風人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122143']
應變中心開設其他天然災害出動救災人員統計,['87073']
應變中心開設其他天然災害出動救災裝備,['87074']
應變中心開設其他天然災害建物損失統計,['87075']
應變中心開設其他天然災害搶救災民人數統計,['87076']
應變中心開設天然災害人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122211']
應變中心開設水患人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122213']
應變中心開設水患災害人員傷亡統計,['87078']
應變中心開設水患災害出動救災人員統計,['87079']
應變中心開設水患災害出動救災裝備統計,['87077']
應變中心開設水患災害建物損失統計,['87080']
應變中心開設水患災害搶救災民人數統計,['87081']
應變中心開設震災人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122210']
應變中心開設震災人員傷亡統計,['87087']
應變中心開設震災出動救災人員統計,['87088']
應變中心開設震災出動救災裝備統計,['87089']
應變中心開設震災建物損失統計,['87090']
應變中心開設震災搶救災民人數統計,['87091']
應變中心開設風災人員傷亡、建物損失、搶救災民人數、出動救災人次、出動救災裝備統計,['122212']
應變中心開設風災人員傷亡統計,['87082']
應變中心開設風災出動救災人員統計,['87083']
應變中心開設風災出動救災裝備統計,['87084']
應變中心開設風災建物損失統計,['87085']
應變中心開設風災搶救災民人數統計,['87086']
成年刑案嫌疑犯人數,['104298']
戶政事務所坐標資訊,['43766']
戶政事務所聯絡資訊,['98100']
戶政規費收費標準,['107021']
戶籍罰鍰處罰金額基準,['107020']
房屋稅免稅戶數,['86774']
房屋稅免稅現值,['86772']
房屋稅免稅面積,['86773']
房屋稅應稅戶數,['86777']
房屋稅應稅現值,['86775']
房屋稅應稅面積,['86776']
房屋稅開徵概況,"['104375', '104376', '104377']"
所屬各機關施政計畫列管案件總表,['47082']
所屬政風機構廉政會報件數一覽表,['127678']
所屬政風機構維護宣導件數一覽表,['127676']
所屬政風機構維護會報件數、比例一覽表,['127675']
所屬機關iTaiwan無線網路統計資料,"['128446', '128447', '128448', '128449']"
所得收入者平均每人所得分配,['104272']
托嬰中心辦理兒童團體保險補助人數,['104280']
拖吊保管場,['104249']
指定藥癮戒治機構,['107884']
指定藥癮戒治機構及替代治療機構及非鴉片類藥癮治療補助機構,['87718']
挖管案件施工動態,['127967']
捷運動態資料之站代號及站名稱對照表,['47040']
捷運工程局文宣出版品清單,['106360']
捷運工程局為民服務案件統計,['102186']
推展老人福利服務補助要點補助人數,['104291']
提供新生兒聽力篩檢補助方案服務醫療院所名單,['128297']
搶奪案被害人數,['104304']
攤集場名冊,['47005']
支用道路交通安全預算辦理情形-高市62101運用大眾傳播媒體宣導計畫,['77697']
支用道路交通安全預算辦理情形-高市62302運用大眾傳播媒體宣導計畫,['77698']
政府服務獎,['86855']
政風處暨所屬政風機構電話,['127733']
教會名冊,['128459']
敬老卡及博愛卡申辦,['104345']
文化基金會一覽表,['104441']
文化局-展覽活動,['47220']
文化局補助或委託辦理之各項論壇、研討會參加人數,['104317']
文化局辦理公聽會參加人數,['104316']
文化景觀清冊,['104462']
新住民子女學生數,['127111']
新聞局現有人員統計表,['75742']
新興分局路口監視器地點,"['104539', '127560']"
新興區A3交通事故資料,"['106168', '114080']"
新舊地號對照表,['75729']
新舊建號對照表,['75730']
新訓中心交通路線,['75782']
新造動力漁船數,['87167']
施政報告,['43804']
旅館及旅行社家數,"['127745', '127747']"
旗山分局路口監視器地點,"['104536', '127557']"
旗山區A3交通事故資料,"['106172', '114076']"
旗山區寺廟資料,['47091']
旗津區A3交通事故資料,"['106177', '114075']"
既有工業管線及管線公里數,['101855']
日照喘息GA03-GA04服務名單,['102222']
早期療育服務-個案管理中心及早期療育中心(據點),['128164']
早期療育服務-兒童發展聯合評估中心與評估醫院,['128165']
早期療育服務-復健醫療院所,['128163']
早期療育服務-身心障礙、發展遲緩兒童訓練機構,['128166']
暨所屬機關學校至退休公教員工統計表,['106015']
暴力犯罪被害人數,['104305']
替代役備役列管人數,"['47062', '105055']"
替代役役男主、副食費發放標準,['46941']
替代役役男家屬各項扶(慰)助經費統計,"['87103', '104253']"
替代役役男家屬安家費及3節生活扶助金統計,"['87105', '104275']"
替代役役男薪俸標準表,['46945']
最新債務資訊,['43794']
有偶人口離婚率,['127059']
有線電視爭議Q&A,['77707']
有線電視現況,['75744']
未參與勞動之原因,['127074']
本區各項農業資料,['47090']
本區災害避難收容處所資料,['47088']
本區畜牧業家畜資料,['127966']
本區社區關懷據點資料,['47093']
本區里活動中心資料,['47087']
本市各區公所,['128171']
本府各機關學校(含區公所)公務小客車及客貨車之車輛配置與實際使用情形表,['126293']
杉林區A3交通事故資料,['114094']
林園分局路口監視器地點,"['104543', '127565']"
林園區A3交通事故資料,['114091']
查獲兒少性剝削被害人數,['104313']
查獲或救援兒少性剝削人數,['104328']
查獲毒品案件,['87252']
查獲酒駕嫌疑犯人數,['104314']
柴油車輛管理資訊,['86393']
核准身障福利團體設置舊衣回收箱,['86419']
桃源區A3交通事故資料,['114084']
梓官區A3交通事故資料,"['106166', '114083']"
楠梓分局路口監視器地點,"['104538', '127559']"
楠梓區A3交通事故資料,"['106169', '114079']"
樹德科技大學共乘費率表,['75715']
樹葬使用情形,"['98092', '104469', '104470', '116095']"
橋頭區A3交通事故資料,"['106176', '114073']"
機構住宿喘息GA05服務名單,['102217']
機車使用牌照稅稅額表,['104384']
機車排氣檢驗站資料,['46943']
機關學校公文電子及紙本簽核件數,"['75640', '101928']"
機關學校電子公文附件ODF比例明細表,['102219']
機關組織-里辦公室,['128346']
機關資料開放程度評鑑,['87648']
檢舉管道,['127679']
次徵兵及齡男子兵籍調查-教育程度,"['46854', '105186', '105187', '105188']"
次徵兵及齡男子兵籍調查-民間專長,"['46834', '105189', '105190', '105191']"
正修科技大學共乘費率表,['75711']
歷史建築清冊,['104463']
歷年勞資爭議調解成果統計表(自起),['86301']
歷年登革熱感染分佈資料,['47196']
歷年補助本市公教退休人員協會活動經費表,['47043']
歷年重大交通事故地點資料,['47212']
歷次發布天然災害停止上班上課相關訊息一覽表,['127872']
死亡年齡,['127057']
殯葬禮儀服務業備查核准一覽表,['43823']
殯葬禮儀服務業許可核准一覽表,['43895']
母嬰親善計程車資訊,['75713']
母嬰親善醫療院所,['86397']
母嬰親善醫療院所名冊,['106363']
民向市長索取中堂輓聯(含電子輓聯)統計表,['75705']
民向市長索取中堂輓額(含電子輓額)統計表,"['75834', '104234', '116099']"
民宿資料,['47017']
民政局APPS累計下載次數資料表,"['106740', '106741', '106742', '107880', '117360']"
民政局執行台電公司促協金經費一覽表,"['106732', '106733', '106734', '106735', '106736', '106737', '106738', '106739']"
民政局暨所屬機關資料盤點表,['46955']
民政局暨所屬機關通訊錄,['75719']
民有零售市場,['47006']
民營路外停車場一覽表,['47055']
民間報編設置產業園區現況資料,['127883']
民間救護車設立登記機構聯繫一覽表,['104563']
水利局辦理演習統計表,['46843']
水產加工廠(場)數,['87175']
水產養殖面積,['87179']
水質監測-監站資料,['120902']
永安區A3交通事故資料,['114097']
污水下水道用戶接管普及率,['87272']
污水接管歷年來用戶及長度,['46845']
污水處理廠,['46988']
河川志工人數,['127154']
派工拆除分析,['75702']
流感疫苗接種合約醫療院所,['104720']
海葬使用情形,"['98093', '104471', '104472', '116098']"
消保官教育宣導彙整表,"['75695', '75699', '86293']"
消保官查核行程一覽表,"['75692', '75694', '75700']"
消費者保護,['127149']
消費者服務中心受理消費爭議件數一覽表,"['75696', '75697', '75698']"
消費者服務中心受理第1次申訴及第2次申訴商品及服務2大類前3大申訴類型一覽表,['75687']
消費者物價指數(基本分類指數)-年指數,['101853']
消費者物價指數(基本分類指數)-月指數,['101852']
消防人力,['127039']
消防分隊駐地位置圖,['43828']
消防安全檢查重大不合格場所一覽表,['43796']
消防局731石化氣爆案消防局接受捐款明細,['86394']
消防局一般公文時效統計表,"['87057', '100995', '102076', '102077', '102078', '102079', '102080', '121073']"
消防局他案件統計表_以行政區作統計,"['100873', '100881']"
消防局公布危險水域地點及曾發生溺水事故地點,"['43814', '122612', '122613', '122614', '122615', '122616', '122617', '122618', '128328']"
消防局其他案件統計表_以分隊作統計,"['100874', '100882']"
消防局其他案件統計表_以行政區作統計,['101960']
消防局分隊通訊錄,['102091']
消防局各類場所辦理檢修申報期限表,['102064']
消防局報案情形統計表,"['47113', '100879', '100880', '101955', '101956', '101957', '101958', '101959']"
消防局專業施放爆竹煙火案件,['78425']
消防局專業爆竹煙火施放案件,"['78423', '78424', '121017', '121018']"
消防局建議需劃設消防通道搶救困難地區資料,['43893']
消防局救護車及器材捐贈芳名錄,['43812']
消防局歲入預算表,"['43803', '124505', '124507', '124509', '124512', '124515', '124518', '124521', '124522']"
消防局歲出追加減預算表,['124516']
消防局歲出預算表,"['43791', '124504', '124506', '124508', '124513', '124514', '124519', '124520', '124523']"
消防局歷年受理公用電話量統計,['102094']
消防局歷年受理其他電話量統計,['102093']
消防局歷年受理市話電話量統計,['46947']
消防局歷年受理總電話量統計,['102092']
消防局歷年受理行動電話量統計,['46946']
消防局歷年火災統計表,['43772']
消防局消防救護車收費統計表,['87064']
消防局液化石油氣販賣場所清冊,['86390']
消防局緊急救護日報表_以分隊作統計,['101961']
消防局緊急救護日報表_以行政區作統計,"['47110', '47111', '101962', '101963', '101964', '101965']"
消防局緊急救護服務統計表,"['87067', '87068', '122487', '122488', '122489']"
消防局緊急救護無生命徵象傷病患急救成功人數,"['123256', '123258', '123259']"
消防局配合社區治安會議辦理防災訓練宣導情形,['102068']
消防局電子簽核及紙本簽核件數統計表,"['87056', '100994', '102075', '121074']"
消防栓位置(地上),['86395']
消防栓位置(地下),['86391']
消防車裝備捐贈芳名錄,"['43817', '122619', '122620', '122636']"
液化石油氣分裝場、儲存場、驗瓶場清冊,['87060']
液化石油氣消防安全檢查及違規取締,"['87062', '125943', '125944', '125945']"
清潔針具執行點,['86398']
清潔針具自動服務機服務點,['87265']
清潔隊位置,['87273']
測速照相桿,['87264']
測量案件統計,['101857']
港都e學苑數位學習網路課程單,['47046']
港都e學苑課程數及時數統計,['47047']
湖內分局路口監視器地點,"['104540', '127562']"
湖內區A3交通事故資料,['114081']
滅火器換藥及充填作業許可合格廠商,['87204']
滯洪池統計,['102057']
漁戶及漁戶人口數,['87173']
漁會及會員數,['87184']
漁業固定投資情形,['87172']
漁業從業人數,['87174']
漁港公告開放停放遊艇停泊停靠數量,['128482']
漁港別漁產量及漁船筏數,['87168']
漁船加油站一覽表,['46994']
演藝團隊,['104455']
潛伏結核感染治療指定醫院暨合作醫師名冊,['104710']
火災人員死傷、財物損失,['47103']
火災傷亡人數,['127040']
火災出動人員、車輛、船艇、直升機報表,"['100870', '100871', '100872']"
火災搶救日報表_以分隊作統計,"['101966', '101967', '101968', '101969', '101970', '101971', '119978', '119979', '119980']"
火災搶救日報表_以行政區作統計,"['47104', '47109', '47112', '100877', '100878', '101974', '119985']"
火災搶救暨緊急救護日報表_以分隊作統計,"['100875', '100876']"
火災案件,"['102072', '122622', '122627', '122634']"
火災次數,"['47101', '47102', '75668', '75669', '75670', '75682', '75683', '75684', '75685', '122623', '122628', '122633', '123251', '123252']"
火災次數分類及時間,"['75679', '75680', '75681', '75691', '102095', '122624', '122629', '122632', '123253']"
火災死傷、財物損失,"['75676', '75677', '75678', '106133', '122625', '122630', '122631', '123254']"
災害救助金救助人數,['104354']
無障礙計程車,['75725']
無障礙計程車營運情形,['87701']
燕巢區A3交通事故資料,"['106173', '114071']"
營造工程物價指數(基本分類指數)-年指數,['101851']
營造工程物價指數(基本分類指數)-月指數,['101850']
營造工程物價指數(按工程類別分類指數)-年指數,['101849']
營造工程物價指數(按工程類別分類指數)-月指數,['101848']
營造業,['128481']
營養照護CB01服務名單,['102215']
爆竹煙火安全檢查,"['87058', '87059', '102069', '121075', '121076', '121077']"
爆竹煙火違法取締年報表,"['75665', '87071', '87072', '121014', '121015', '121016']"
特優里長名冊,['102192']
特定寵物業清冊,['47000']
特殊境遇家庭,['104339']
犬貓絕育補助合約獸醫診療機構名冊,['47002']
獎勵會議展覽活動實施辦法申請案件辦理情形,['43869']
獲內政部表揚特優里長名單,"['106973', '106974', '106975', '106976', '106977', '106978', '106979', '106980', '107062']"
獲分配公職考試錄取人數,['127099']
獸醫診療機構開業執照清單,['101936']
現有員額表,['47032']
現有漁筏數量,['87166']
現有無動力舢舨數量,['87165']
現有社團及輔導機關一覽表,['47051']
現有視障按摩據點,['87200']
現有選舉公職人員人數,['127085']
環保人力,['127126']
環保旅店,['128338']
環保餐廳,['128339']
環境教育機構,['128340']
環境教育設施場所,['128341']
環境水體監測站設置位置,['104454']
環境水體監測資料,"['86856', '101172', '101942', '101943', '101944', '101945', '101946', '101947', '101948', '118244', '127538', '127539', '127540', '127541', '127542']"
環境水體監測資料(按月),['75768']
環境用藥販賣業,['75732']
生物多樣性資料庫,['104510']
產後護理機構,['127049']
產後護理機構(產後護理之家)名冊,['87260']
產後護理機構名冊,['106362']
產業及社福外籍勞工人,['127069']
產業園區開發建設費用及計價審定小組委員人數,['127129']
產業園區開發管理基金管理會委員人數,['127128']
用電設備檢驗維護業登記清冊,['46997']
田寮區A3交通事故資料,"['104260', '114096']"
甲仙區A3交通事故資料,['114095']
申請國家賠償受理人數,['127124']
申請家庭暴力事件未成年子女會面、交往及交付,['104330']
申請身心障礙者權益受損協調處理人數,['104290']
申請辦理全民健康保險保費自付額核退者人數,['104292']
申請醫療與喪葬補助人數,['127089']
疫病蟲害主動調查監測-小黃薊馬蟲數資料,"['100682', '100683', '100684', '101173', '104478', '105056', '106181', '106884', '114703']"
疫病蟲害主動調查監測-小黃薊馬蟲數資料表,"['114142', '117958', '119325', '121093', '126702', '128326', '129171', '130295']"
疫病蟲害主動調查監測-東方實蠅蟲數資料,['117960']
疫病蟲害主動調查監測-東方果實蠅蟲數資料,"['100687', '114704', '119323', '121092', '126701', '128327', '129172', '130260']"
疫病蟲害主動調查監測-東方果實蠅蟲數資料表,"['100685', '100892', '100913', '104244', '104511', '105064', '107864', '114055', '114061', '114128', '114139']"
疫病蟲害主動調查監測-瓜實蠅蟲數資料,"['100681', '100688', '100906', '101941', '104243', '104477', '105065', '114054', '114060', '114705', '117959', '119324', '121094']"
疫病蟲害主動調查監測-瓜實蠅蟲數資料表,"['106883', '114127', '114141', '126703', '128323', '129170', '130262']"
癌症標準化發生率,['127044']
癌症死亡年齡,['127056']
登革熱整合式醫療照護計畫合約醫療院所,['43799']
登革熱緊急防治噴藥資料,"['47218', '104570', '104571', '104572', '104699', '104700', '104701', '104702', '104703', '104704', '104705', '104706', '104707', '104721', '106138', '106139', '106140', '106141', '106142', '106143', '106144', '106145', '106146', '106147', '106148', '106149', '106150', '106151', '106152', '106153', '106154', '106155', '106156', '106157', '106158', '106159', '106160', '106165']"
發展遲緩兒童,['104278']
發生交通事故前十大路口,['47213']
發生交通事故前十大路段,"['47194', '85424']"
相關求才、求職、職業訓練資訊及最新資訊發佈,['43792']
研究發展考核委員會資料盤點表,['46828']
礫間淨化濕地公園,['46844']
社區大學學員數,['127116']
社區毒品防制關懷站,['107877']
社區營造點補助經費一覽表,['104437']
社區營造點補助經費表,['104787']
社區發展協會通訊錄,['47092']
社區發展服務,['128132']
社會救助-國民年金辦事處,['128141']
社會救助-實物銀行,['128139']
社會救助-災民避難收容處所,['128142']
社會救助-街友服務場所,['128140']
社會救助金專戶管理會委員人數,['104350']
社會福利慈善事業基金會-基金會,['128138']
社會福利服務場地,['127142']
祭祀公業法人一覽表,['101952']
私立就業服務機構專區,['43787']
秘書處姊妹市友好城市重要城市交流互訪情形一覽表,"['75659', '102070']"
稅捐稽徵處全功能服務櫃台辦理件數,['86736']
稅捐稽徵處各項稅捐徵課成本,['86739']
稅捐稽徵處實徵件數,['86763']
稅捐稽徵處實徵金額,['86762']
稅捐稽徵處未徵件數,['86756']
稅捐稽徵處未徵金額,['86755']
稅捐稽徵處查核定開徵件數,['86734']
稅捐稽徵處查核定開徵金額,['86764']
稅捐稽徵處歲出決算數,['86737']
稅捐稽徵處歲出預算執行率,['86735']
稅捐稽徵處歲出預算數,['86738']
稅捐稽徵處減免註銷件數,['86761']
稅捐稽徵處減免註銷金額,['86760']
稅捐稽徵處聯絡資訊,['43894']
稅捐稽徵處逾徵收期限件數,['86759']
稅捐稽徵處逾徵收期限金額,['102041']
稅捐稽徵處逾核課期限件數,['86758']
稅捐稽徵處逾核課期限金額,['86757']
稅捐稽徵處違章漏稅案件受理件數,['86754']
稅捐稽徵處違章漏稅案件審理件數,['86753']
稅捐稽徵處違章漏稅案件處罰後自行繳納件數,['86752']
稅捐稽徵處違章漏稅案件處罰後自行繳納金額,['86751']
稅捐稽徵處違章罰鍰案件更正註銷件數,['86748']
稅捐稽徵處違章罰鍰案件更正註銷金額,['86747']
稅捐稽徵處違章罰鍰案件發給執行憑證件數,['86744']
稅捐稽徵處違章罰鍰案件發給執行憑證金額,['86743']
稅捐稽徵處違章罰鍰案件移送執行件數,['86750']
稅捐稽徵處違章罰鍰案件移送執行繳納件數,['86746']
稅捐稽徵處違章罰鍰案件移送執行繳納金額,['86745']
稅捐稽徵處違章罰鍰案件移送執行金額,['86749']
稅捐稽徵處違章罰鍰案件移送退案或撤回件數,['86742']
稅捐稽徵處違章罰鍰案件移送退案或撤回金額,['86741']
稅捐納庫數,['86636']
空氣品質人工測站監測數值,"['104783', '107883', '118752']"
空氣品質人工監測站位置,['104575']
空氣品質淨化區定位資訊,['86392']
空氣品質自動監測站位置,['104723']
空氣污染物連續自動監測設施(CEMS),['127543']
立特殊教育學校通訊資料,['87262']
立空中大學最新消息_教務公告,['47115']
立聯合醫院門診病人前20大疾病統計表,['130296']
第14任總統副總統選舉大寮區開票統計結果,['47038']
第14任總統副總統選舉鳥松區開票統計結果,['46942']
第2屆調解委員名冊,['47057']
第2屆里長名冊,['128457']
第3屆里長名冊,['43872']
第２屆市長選舉大寮區開票統計結果,['47037']
第２屆里長選舉候選人得票數統計表,['47099']
粗出生率,['127062']
精神復健機構,['86403']
精神護理之家,['86402']
精神醫療機構,['86404']
紀念建築清冊,['104459']
紅毛港文化園區-活動消息,['43810']
納骨塔坐標資訊,['43809']
納骨塔櫃位使用情形,"['98091', '104473', '104474', '116097']"
納骨塔神主牌使用情形,"['98090', '104475', '104476', '116096']"
結婚人數按原屬國籍,['127028']
結核病死亡率,['127045']
經濟弱勢市民醫療補助辦法補助人數,['104357']
經濟案件與取締電玩攤販,['87250']
經濟發展局權管8處市有基地位置,['101854']
經濟發展局權管新創基地,['127858']
經濟發展局資料盤點表,['46884']
綜合性社會福利服務-社會福利中心,['128124']
綜合性社會福利服務-綜合社會福利服務館,['128131']
綠建築指標案件數統計,['127653']
綠色友善餐廳,['47039']
綠色商店,['128342']
網路成癮治療服務資源表,['104965']
緊急救護到院前心肺功能停止傷病患統計,"['87069', '123255', '123260', '127857']"
緊急救護急救處置統計表,"['87065', '87066', '122485', '122486', '123261']"
緊急救護日報表_以分隊作統計,"['102101', '119975', '119976', '119977']"
緊急救護日報表_以行政區作統計,"['119982', '119983', '119984']"
緊急短期安置從事性交易兒少人數,['104329']
總決算收支簡明比較分析表,['127016']
總決算歲入來源別決算總表,['127017']
總決算歲入歲出性質及餘絀簡明比較分析表,['127018']
總決算歲入歲出簡明比較分析表,['127019']
總決算歲出決算總表,"['127014', '127015']"
總預算基金別預算分析表,['101181']
總預算收支簡明比較分析表,"['101182', '127013']"
總預算歲入來源別比較總表,['127012']
總預算歲入來源別預算比較總表,['101180']
總預算歲入來源別預算總表,"['101179', '127010']"
總預算歲入歲出性質及餘絀簡明比較分析表,['101178']
總預算歲入歲出簡明比較分析表,['101177']
總預算歲出預算比較總表,"['101174', '101176', '127011', '127237']"
總預算歲出預算總表,"['101171', '101175', '127008', '127009']"
總預算附屬單位預算及綜計表(法定預算)-作業基金收支餘絀綜計表,['128472']
總預算附屬單位預算及綜計表(法定預算)-作業基金現金流量綜計表,"['100909', '100910']"
總預算附屬單位預算及綜計表(法定預算)-作業基金餘絀撥補綜計表,"['100911', '100912']"
總預算附屬單位預算及綜計表(法定預算)-營業基金固定資產建設改良擴充與資金來源綜計表,['100915']
總預算附屬單位預算及綜計表(法定預算)-營業基金損益綜計表,['100921']
總預算附屬單位預算及綜計表(法定預算)-營業基金損益綜計表(依分列),['100920']
總預算附屬單位預算及綜計表(法定預算)-營業基金現金流量綜計表,['100917']
總預算附屬單位預算及綜計表(法定預算)-營業基金盈虧撥補綜計表,['100919']
總預算附屬單位預算及綜計表(法定預算)-營業基金盈虧撥補綜計表(依分列),['100918']
總預算附屬單位預算及綜計表(法定預算)-營業基金財務摘要綜計表,['100922']
總預算附屬單位預算及綜計表(法定預算)-營業基金資本增減綜計表,['100914']
總預算附屬單位預算及綜計表(法定預算)-特別收入基金基金來源、用途及餘絀綜計表,['100905']
總預算附屬單位預算及綜計表(法定預算)-特別收入基金現金流量綜計表,"['100903', '100904']"
總預算附屬單位預算及綜計表(預算案)-作業基金收支餘絀綜計表,"['100884', '100888']"
總預算附屬單位預算及綜計表(預算案)-作業基金現金流量綜計表,"['100891', '100895']"
總預算附屬單位預算及綜計表(預算案)-作業基金餘絀撥補綜計表,"['100886', '100887']"
總預算附屬單位預算及綜計表(預算案)-債務基金基金來源、用途及餘絀表,['104569']
總預算附屬單位預算及綜計表(預算案)-債務基金現金流量表,['104568']
總預算附屬單位預算及綜計表(預算案)-捷運建設基金基金來源、用途及餘絀表,['104567']
總預算附屬單位預算及綜計表(預算案)-捷運建設基金現金流量表,['104566']
總預算附屬單位預算及綜計表(預算案)-營業基金固定資產建設改良擴充與資金來源綜計表,['100890']
總預算附屬單位預算及綜計表(預算案)-營業基金損益綜計表,['100900']
總預算附屬單位預算及綜計表(預算案)-營業基金損益綜計表(依分列),['100885']
總預算附屬單位預算及綜計表(預算案)-營業基金現金流量綜計表,['100896']
總預算附屬單位預算及綜計表(預算案)-營業基金現金流量項目分列(依分列),['100894']
總預算附屬單位預算及綜計表(預算案)-營業基金盈虧撥補綜計表,['100897']
總預算附屬單位預算及綜計表(預算案)-營業基金盈虧撥補綜計表(依分列),['100893']
總預算附屬單位預算及綜計表(預算案)-營業基金資本增減綜計表,['100889']
總預算附屬單位預算及綜計表(預算案)-特別收入基金基金來源、用途及餘絀綜計表,['100923']
總預算附屬單位預算及綜計表(預算案)-特別收入基金現金流量綜計表,"['100898', '100899']"
總預算附屬單位預算及綜計表(預算案)-財務摘要綜計表,['101949']
績優宗教團體,"['107878', '107879']"
纜線附掛申請,['75738']
美濃區A3交通事故資料,['114087']
義勇人員福利互助,['104309']
老人修繕住屋補助申請人數,['104340']
老人健檢醫療院所,['86299']
老人免費裝假牙特約醫療院所,['101953']
老人活動中心月平均服務人數,['104341']
老屋活化整修及經營補助計畫補助名冊,['127561']
老農福利津貼核付人數,['127083']
考古遺址清冊,['104460']
聘僱外勞專區,['43845']
職務再設計審查核准補助名冊及歷年成果,['104960']
職業訓練課程,['43816']
職業重建服務窗口據點資訊,['86302']
聽語障者服務,['104284']
臥床或長期活動受限照護CB04服務名單,['104560']
自來水管承裝商,['46992']
自行研究報告(辦理至),['43839']
與外國姊妹校締結名單,['87223']
航空噪音管制區,['128471']
苓雅分局路口監視器地點,"['104541', '127563']"
苓雅區A3交通事故資料,"['104254', '114086']"
茄萣區A3交通事故資料,['114085']
藥癮個案輔導統計,['107885']
處理業機構名冊,['87154']
處理違反大眾捷運法第50條及50-1條事件概況表,['87698']
處理違反有線廣播電視法案件裁量基準,['87697']
行動就服車預定行程表,['43782']
行政中心場地介紹,['86294']
行政中心場地使用管理規則及收費標準,['104955']
行政概況,['86854']
行政法人一覽表,['104421']
街友服務,['104333']
街頭藝人一覽表,['104439']
街頭藝人展演空間一覽表,['104438']
衛星、無線電計程車車隊一覽表(彙整)-修,['75709']
衛生局所資料,['86405']
衛生掩埋場位置,['86413']
衛生自主管理標章認證業者名冊,['87270']
表揚孝行獎名單,"['107113', '107114', '107115', '107116', '107117', '107118', '107119', '107120', '107121']"
表揚特優里長名單,"['106965', '106966', '106967', '106968', '106969', '106970', '106971', '106972', '107427']"
表揚資深里長名單,"['107025', '107026', '107027', '107028', '107029', '107030', '107031', '107032', '107428']"
補助老人及身心障礙者全民健康保險保費自付額補助人數,['104294']
補習班資訊管理系統,['86408']
製冰冷藏及凍結概況,['87711']
西藥廣告申請案件,['127293']
視覺障礙者人數,['104352']
