0206地震專區,['53565']
農產品產銷履歷清冊,['100823']
迄今累進起點地價,['53294']
近期活動,['97980']
連續自動監測設施CEMS監測數據,['53371']
週邊場地借用收費標準及使用時間,['53376']
道路交通事故原因傷亡統計,['98278']
道路交通事故當事者區分統計,['102769']
道路交通音量監測不合格情形,['129549']
道路挖掘案件資料,['6176']
道路路樹調查表,['122808']
道路長度面積資訊,['121007']
違反勞動基準法事業單位事業主公告,['98807']
違規旅宿業裁罰名單,"['128680', '128681', '128682']"
遺址資訊,['97979']
避難收容處所開設情形,['53561']
都市更新及爭議處理審議會委員名冊,['101496']
都市更新核定成果,['130067']
都市更新辦理進度,['130066']
都市發展局職員學歷統計報表,['129053']
都市發展局職員官等性別統計報表,['129039']
都市發展局職員年資統計報表,['129037']
都市發展局職員年齡統計報表,['129038']
都市發展局職員異動資料統計報表,['129040']
都市發展局職員考試別統計報表,['129041']
都市計畫公共設施用地已取得面積,['128620']
都市計畫公共設施用地已闢建面積,['128622']
都市計畫公共設施用地計畫面積,['128623']
都市計畫圖資重製情形,['129051']
都市計畫土地使用分區證明書申請方式統計,['128565']
都市計畫土地使用分區面積,['128621']
都市計畫地區種類,['128624']
都市計畫委員會審議案件數,['129050']
都市計畫案件進度,['130330']
都市計畫面積及人口,['128627']
都市設計審議各行政區審議核定案件數,['129003']
都市設計審議委員名單,['129008']
都市設計審議委員會審議結果,['129007']
都市設計審議幹事會審議結果,['129006']
都市設計審議會議次數,['129005']
都發局廉政倫理事件(案件)政風室受理報備登錄情形月報表,['128674']
都發局採購招標案件一覽表,['128629']
都發局機關通訊錄,['128630']
都發局辦理國家賠償事件收結情形表,['128684']
都發局遊說法案件受理情形月報表,['128673']
都發局都委會名單,['129054']
醫事人員執業異動統計資料,['53445']
醫療機構自費收費標準表-修訂,['79602']
里互動溝通座談會建議案統計表,['53639']
里鄰戶數、人口數與戶籍動態登記數,"['85869', '111956', '120046']"
重要統計指標,"['98799', '118026', '118027', '118028', '118175', '118176', '120048']"
金讚百家好店入選名單,['53897']
銀髮族服務-老人營養餐飲服務單位,['127338']
銀髮族服務-長青學苑,['102928']
長期照顧管理中心,['103345']
門牌坐標資料-僅供參考,['120044']
開放資料清單,['53638']
開業不動產估價師名冊,['53426']
關子嶺勞工育樂中心,['53640']
防火宣導場次統計,['98689']
防災校園建置學校一覽表,['103760']
附屬單位決算綜計表-作業基金平衡綜計表(依科目分別),['53498']
附屬單位決算綜計表-作業基金收支餘絀綜計表,['53501']
附屬單位決算綜計表-作業基金現金流量綜計表(依現金流量項目分別),['53499']
附屬單位決算綜計表-作業基金餘絀撥補綜計表,['53500']
附屬單位決算綜計表-營業基金損益綜計表_依收支科目分列,['53505']
附屬單位決算綜計表-營業基金現金流量綜計表_依現金流量項目分別,['53503']
附屬單位決算綜計表-營業基金盈虧撥補綜計表_依撥補項目分列,['53504']
附屬單位決算綜計表-營業基金資產負債綜計表_依科目分別,['53502']
附屬單位決算綜計表-特別收入基金基金來源用途及餘絀綜計表,['53497']
附屬單位決算綜計表-特別收入基金平衡綜計表(依科目分別),['53495']
附屬單位決算綜計表-特別收入基金現金流量綜計表(依現金流量項目分別),['53496']
隧道明細,['129192']
雙市政中心各局處辦公處所配置情形,['119146']
離婚人數,"['85863', '111957', '120040']"
雨水下水道人孔,['129080']
雨水下水道管線圖資,['129079']
雨量統計資料,['122806']
電動公車資料,['109911']
電動機車充電站址,['7001']
電動車充電站設置區域地址,['99902']
電器承裝業登記家數清冊(Electric Appliance Construction),['85859']
電子遊戲場業清冊,['126760']
電影片映演業查察統計資料,['118564']
電影院場所資料,['118565']
非包裝飲用水檢驗收費標準,['53372']
非營利組織列表,['53563']
非都市土地使用分區筆數面積公告土地現值統計表,['53893']
非都市土地使用地變更編定筆數及面積,['98797']
非都市土地分區改劃,['100195']
非都市土地分區編定統計表,['53929']
非都市土地變更編定筆數及面積,['98798']
食品器具、食品容器或包裝、食品用洗潔劑檢驗結果,"['53232', '113579', '113580', '113581', '113582', '120421']"
食品安全專區,['101455']
食品工廠,['53469']
食品工廠稽查概況,"['97986', '112928', '129244']"
食安抽驗-一般農漁畜產品抽驗清冊,['53573']
食安抽驗-有機農漁畜產品抽驗清冊,['53574']
食安抽驗-產銷履歷農漁畜產品抽驗清冊,['53575']
食安抽驗-飼料抽驗清冊,['98804']
飲用水檢驗測定機構,['127554']
養殖2000隻以上水禽之養殖場分布區位,['53544']
餐飲衛生優良店,['7627']
騎樓暢通計畫,['53629']
體育處所屬體育場館分佈資訊,['119351']
高齡友善藥局名單,['53355']
都市設計審議幹事名單,['129004']
