(中台灣排除6都)公司登記資料-A農、林、漁、牧業,['108351']
不動產經紀營業員訓練機構,['25247']
不受理報關原因,['8276']
不按址投遞區域,['7966']
不法利得宣導資料,['34843']
不當黨產處理委員會單位預算,"['44008', '75190']"
不當黨產處理委員會單位預算案,['41065']
不符合食品資訊資料集,['6133']
不良日數月報表,['34740']
世界主要國家政府債務管理政策之研究,['11491']
世界人權宣言,['23037']
世界各主要國家之我國留學生人數統計,['33004']
世界各國保險密度前20名排行表,['129374']
世界各國保險業保費收入(中華民國人壽保險商業同業公會),['15298']
世界各國保險滲透度前20名排行表,['129382']
世界各國壽險業保費收入,['14543']
世界各國總保費收入前20名排行表,"['129371', '129377']"
世界各國與我國教育合作協定及備忘錄統計表,['42112']
世界暨洲際臺灣商會聯合總會會議概況,['7031']
世界暨洲際臺灣商會聯合總會會議活動統計資料,['9745']
世界歷年重大傷亡地震(1900~)表(財團法人住宅地震保險基金),['11447']
世界經濟論壇(WEF)全球競爭力,['22123']
世界臺灣商會聯合總會及各分會分布情形,['7028']
世界臺灣商會聯合總會所屬商會個數,['68585']
世界貿易組織WTO會員,['30167']
世界較大規模地震事件(1900~)表(財團法人住宅地震保險基金),['11446']
中區國稅局扣免繳(外僑人工建檔部分)統計表,['46007']
中區國稅局綜合所得稅結算申報人工申報案件件數比較表,['122476']
中區國稅局綜合所得稅結算申報人工申報案件統計表,['31759']
中區水資源局轄管水庫、堰、壩洩洪訊息,['58343']
中國大陸人士來臺(各類交流)人數性別統計表,['97673']
中國大陸人民、無戶籍國民來臺居留、定居人數統計表,['59277']
中國大陸人民來臺人數,['21823']
中國大陸臺校學生人數97-107學年統計,['57982']
中國大陸進口其他類不安全商品,['63036']
中國大陸進口化工類不安全商品,['63033']
中國大陸進口機械類不安全商品資訊,['59604']
中國大陸進口電子類不安全商品,['63027']
中國大陸進口電機類不安全商品資訊,['59608']
中國石油化學工業開發股份有限公司申請對自美國、日本及韓國進口之丙烯腈課徵反傾銷稅暨臨時課徵反傾銷稅並依法追溯課徵案產業損害初步調查公開資料,['22965']
中國輸出入銀行中小企業單1服務窗口,['93207']
中國輸出入銀行作業風險應計提資本表,['41404']
中國輸出入銀行信用風險抵減表,['41405']
中國輸出入銀行信用風險暴險額與應計提資本表,['41406']
中國輸出入銀行員工學歷分布表,['93204']
中國輸出入銀行對民間團體補(捐)助執行情形,['42528']
中國輸出入銀行市場風險應計提資本表,['41359']
中國輸出入銀行平均服務年資表,['93206']
中國輸出入銀行捐助作業要點,['44882']
中國輸出入銀行會計報表,['38625']
中國輸出入銀行會計報表起,['77040']
中國輸出入銀行理事名單,['40050']
中國輸出入銀行監察人名單,['40648']
中國輸出入銀行總經理副總經理各部門主管名單,['41358']
中國輸出入銀行總行及分行表,['93202']
中國輸出入銀行資本適足率表,['93203']
中國輸出入銀行附屬單位決算,['38890']
中國輸出入銀行附屬單位預算,['38968']
中國鋼鐵股份有限公司、燁輝企業股份有限公司、裕鐵企業股份有限公司、盛餘股份有限公司、中鴻鋼鐵股份有限公司及欣建工業股份有限公司等6家公司申請對自中國大陸及韓國產製進口特定鍍鋅、鋅合金扁軋鋼品課徵反傾銷稅、臨時課徵反傾銷稅暨回溯課徵反傾銷稅案產業損害調查公開資料,['32550']
中國鋼鐵股份有限公司申請對自中國大陸及韓國產製進口之碳鋼冷軋鋼品課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,['25805']
中國鋼鐵股份有限公司申請對自巴西、中國大陸、印度、印尼、韓國及烏克蘭產製進口碳鋼鋼板課徵反傾銷稅、臨時課徵反傾銷稅暨回溯課徵反傾銷稅案產業損害調查公開資料,['32549']
中國鋼鐵股份有限公司申請對自日本產製進口之非方向性低規電磁鋼片課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,['25806']
中國鋼鐵股份有限公司申請對自韓國及印度產製進口碳鋼鋼板課徵反傾銷稅暨臨時課徵反傾銷稅案產業損害初步調查公開資料,['25807']
中國阻撓我國際空間事例,['116034']
中堅企業獲獎名單,['29790']
中央公債之發行、償還及未償還餘額表,['9465']
中央公債交易商名單,['9473']
中央公債得標行業分析表,['9466']
中央公債持有對象分析表,['9467']
中央公債標售概況表,['7234']
中央公債經理體系,['10744']
中央公債還本付息概況表,['13761']
中央公教人員請領育嬰貸款之性別統計表,['130257']
中央印製廠會計報表,['18842']
中央印製廠決算報表,['18640']
中央印製廠預算報表,['13408']
中央及所屬機關網站Web2.0服務一覽表,['34018']
中央各機關公教人員急難貸款統計,['11261']
中央各機關經管眷屬宿舍戶數,['30572']
中央各機關遊說窗口,['32934']
中央地質調查所-會計月報,['18620']
中央地質調查所勞務外包,['32510']
中央地質調查所委託專業服務,['32513']
中央地質調查所委託技術服務,['32506']
中央地質調查所委託資訊服務,['32505']
中央地質調查所統一代碼,['16779']
中央地質調查所財務採購,['32507']
中央存款保險公司人事統計表,['113825']
中央存款保險公司年報,['11149']
中央存款保險公司會計月報,['19253']
中央存款保險公司資產負債統計表,['10782']
中央存款保險公司附屬單位決算,['10402']
中央存款保險公司附屬單位預算,['10380']
中央廉政委員會召集人、副召集人及委員名冊(第4屆),['13775']
中央廉政委員會會議資料(歷次),['23008']
中央廉政委員會歷次會議主席指示事項辦理情形,['70708']
中央政府債務基金會計報表,['20197']
中央政府債務基金決算,"['20420', '28247', '43335']"
中央政府債務基金附屬單位決算,"['77337', '99422', '117698']"
中央政府債務基金附屬單位預算,"['53003', '75064', '98016', '114017', '128330']"
中央政府債務基金附屬單位預算案,"['12621', '90641', '107345', '129809']"
中央政府債務基金預算,"['21328', '21333', '35334', '43212']"
中央政府債務未償餘額占國內生產毛額百分比,['6748']
中央政府公債發行制度之檢討與改進,['13315']
中央政府前瞻基礎建設計畫特別預算會計報告,['99341']
中央政府前瞻基礎建設計畫特別預算會計月報,"['56948', '99127']"
中央政府前瞻基礎建設計畫特別預算決算書,['99326']
中央政府各年度債務舉借概況,['12131']
中央政府各機關(機構)徵收或購置已逾未完成產權移轉登記土地處理情形彙整統計表,['8322']
中央政府各機關單位決算及附屬單位決算,['10986']
中央政府各機關單位預算及附屬單位預算,['10890']
中央政府各機關學校公務用及公共用珍貴財產數量價值總表,['46808']
中央政府各機關學校公務用及公共用財產數量價值總表,['46807']
中央政府各機關辦理財產折舊攤銷說明會課程簡報,['24120']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算執行狀況月報表及會計月報,['126767']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,['122656']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算歲出預算執行情形,['127428']
中央政府建設公債標售概況表,['8224']
中央政府所轄人民團體,['14170']
中央政府普通公務單位會計制度會計科目,['15409']
中央政府機關資料集,['44806']
中央政府機關辦公廳舍建置審核原則,['43361']
中央政府流域綜合治理計畫特別預算,['62449']
中央政府特別預算庫款支付表,['30953']
中央政府納入集中支付之特種基金及保管款餘額,['41137']
中央政府總決算,['10982']
中央政府總決算各機關歲入來源別決算分析總表,"['23842', '33073', '85083', '102152', '120984']"
中央政府總決算各機關歲出決算分析總表,"['23830', '33074', '45411', '102153', '120985']"
中央政府總決算各機關歲出用途別決算分析總表,"['23836', '33075', '45420', '80092', '102151', '120983']"
中央政府總決算收支簡明比較分析表,"['6584', '9435', '17155', '33076', '45425', '80094', '102143', '120981']"
中央政府總決算收支簡明比較分析表-各年度,['40329']
中央政府總決算歲入來源別決算分析總表,['80091']
中央政府總決算歲入來源別決算分析總表-各年度,['45419']
中央政府總決算歲入來源別決算總表,"['6585', '9437', '17157', '33077', '45423', '102149', '120980']"
中央政府總決算歲入來源別決算總表-各年度,['40330']
中央政府總決算歲入歲出簡明比較分析表,"['6583', '9434', '17152', '33078', '45389', '79996', '102142', '120982']"
中央政府總決算歲出決算分析總表,['85084']
中央政府總決算歲出決算總表,"['6586', '6587', '9438', '9439', '17158', '17159', '33079', '33080', '45421', '45422', '80087', '80089', '102146', '102147', '120978', '120979']"
中央政府總決算歲出決算總表-各年度,"['40332', '40334']"
中央政府總決算附屬單位決算及綜計表(作業基金),"['6894', '9458', '21514', '33081', '45696', '81403', '101702', '120962']"
中央政府總決算附屬單位決算及綜計表(債務基金),"['6895', '9460', '21516', '33082', '45698', '81390', '101718', '120964']"
中央政府總決算附屬單位決算及綜計表(營業基金),['120961']
中央政府總決算附屬單位決算及綜計表(營業部分),"['6641', '9457', '24370', '33083', '45694', '81385', '101636']"
中央政府總決算附屬單位決算及綜計表(特別收入基金),"['6896', '9459', '21515', '33084', '45695', '81388', '101722', '120963']"
中央政府總決算附屬單位決算及綜計表(資本計畫基金),"['6897', '9461', '21517', '33085', '45697', '81389', '101719', '120965']"
中央政府總決算附屬單位決算及綜計表-營業部分-各年度,['40303']
中央政府總決算附屬單位決算及綜計表-非營業部分-各年度,['40304']
中央政府總結算,['10987']
中央政府總預算-人工表,"['44704', '79070', '100739', '121010']"
中央政府總預算-分析表,"['44705', '79072', '100742', '121009']"
中央政府總預算-參考表,"['44706', '79074', '100743', '121013']"
中央政府總預算-簡明表,"['44708', '79075', '100745', '121011']"
中央政府總預算-預算表,"['44707', '79076', '100746', '121012']"
中央政府總預算_人工表,"['15361', '28359']"
中央政府總預算_分析表,"['12036', '28361']"
中央政府總預算_參考表,"['12038', '28363']"
中央政府總預算_簡明表,"['12041', '28366']"
中央政府總預算_預算表,"['12040', '28364']"
中央政府總預算半年結算收支簡明比較分析表,"['23839', '35280', '54267', '80096', '108011', '129544']"
中央政府總預算半年結算歲入歲出簡明比較分析表,"['23837', '35281', '54270', '80097', '108012', '129545']"
中央政府總預算及附屬單位預算,['10503']
中央政府總預算案-人工表,"['38059', '57872', '92067', '108037']"
中央政府總預算案-分析表,"['38060', '57883', '92066', '108034']"
中央政府總預算案-參考表,"['38085', '57884', '92070', '108040']"
中央政府總預算案-各機關歲入來源別科目分析總表,['23804']
中央政府總預算案-各機關歲出1級用途別科目分析總表,['23810']
中央政府總預算案-各機關歲出2級用途別科目分析總表,['23811']
中央政府總預算案-各機關歲出科目分析總表,['23807']
中央政府總預算案-各機關資本支出分析總表,['23815']
中央政府總預算案-基金別預算分析表,['23781']
中央政府總預算案-收支併列案款對照表,['23816']
中央政府總預算案-收支簡明比較分析表,['23782']
中央政府總預算案-歲入來源別預算比較總表,['23789']
中央政府總預算案-歲入來源別預算總表,['23803']
中央政府總預算案-歲入歲出性質及餘絀簡明比較分析表,['23787']
中央政府總預算案-歲入歲出簡明對照表,['23788']
中央政府總預算案-歲入歲出簡明比較分析表,['23783']
中央政府總預算案-歲出按職能及經濟性綜合分類表,['23812']
中央政府總預算案-歲出預算比較總表,"['23805', '23808']"
中央政府總預算案-歲出預算總表,"['23806', '23809']"
中央政府總預算案-歷年中央政府收支概況表,['23814']
中央政府總預算案-歷年各級政府淨收支概況表,['23813']
中央政府總預算案-簡明表,"['38095', '57886', '92068', '108038']"
中央政府總預算案-預算表,"['38091', '57885', '92069', '108039']"
中央政府總預算案_分析表,['11851']
中央政府總預算案_參考表,['11852']
中央政府總預算案_簡明表,['11854']
中央政府總預算案_預算表,['11853']
中央政府總預算案相關表件,"['35302', '54861']"
中央政府總預算案近歲入明細表,['25031']
中央政府總預算案附屬單位預算及綜計表(營業部分),['107896']
中央政府總預算案附屬單位預算及綜計表(非營業部分)-作業基金,"['34255', '54989', '90361', '107915']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-債務基金,"['34264', '54990', '90363']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-政事基金,['107916']
中央政府總預算案附屬單位預算及綜計表(非營業部分)-特別收入基金,"['34277', '55030']"
中央政府總預算案附屬單位預算及綜計表(非營業部分)-資本計畫基金,"['34265', '54991']"
中央政府總預算案附屬單位預算及綜計表-營業部分,"['11845', '23769', '23932', '30656', '34714', '55191']"
中央政府總預算案附屬單位預算及綜計表-營業部分之損益綜計表、盈虧撥補綜計表、現金流量綜計表,['90276']
中央政府總預算案附屬單位預算綜計表(非營業)，特別收入基金,['90368']
中央政府總預算案附屬單位預算綜計表(非營業)，資本計畫基金,['90367']
中央政府總預算歲出主管別庫款支付表,['41142']
中央政府總預算歲出庫款支付表,['41143']
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-作業基金,"['45085', '77041']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-債務基金,"['45086', '77042']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-特別收入基金,"['45088', '77044']"
中央政府總預算法定預算附屬單位預算及綜計表(非營業部分)-資本計畫基金,"['45087', '77043']"
中央政府總預算法定預算附屬單位預算及綜計表-營業部分,"['44971', '78209']"
中央政府總預算法定預算附屬單位預算綜計表(作業基金),"['6808', '6887', '9380', '9505']"
中央政府總預算法定預算附屬單位預算綜計表(債務基金),"['6632', '6888', '9382', '9506', '30647', '30652']"
中央政府總預算法定預算附屬單位預算綜計表(業權基金,['30651']
中央政府總預算法定預算附屬單位預算綜計表(特別收入基金),"['6633', '6892', '9383', '9507', '30648', '30653']"
中央政府總預算法定預算附屬單位預算綜計表(資本計畫基金),"['6634', '6893', '9384', '9508', '30649', '30654']"
中央政府總預算法定預算附屬單位預算綜計表(非營業)-業權基金,['30646']
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-作業基金,"['21550', '23866']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-債務基金,"['21552', '23867']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-特別收入基金,"['21551', '23861']"
中央政府總預算法定預算附屬單位預算綜計表(非營業部分)-資本計畫基金,"['21553', '23868']"
中央政府總預算相關表件,"['30509', '30512', '30513', '30514', '30516', '30517', '30518', '30520']"
中央政府總預算第2預備金動支數額表,['10889']
中央政府總預算近歲入審決數統計表,['25029']
中央政府總預算近歲入院編決算數明細表,['25033']
中央政府總預算近歲入預算數統計表,['25032']
中央政府總預算近預決算數比較分析表,['25030']
中央政府總預算附屬單位預算半年結算報告及綜計表(作業基金),"['21518', '35259', '54577', '91827', '107396', '129199']"
中央政府總預算附屬單位預算半年結算報告及綜計表(債務基金),"['21520', '35261', '54583', '91828', '107395', '129209']"
中央政府總預算附屬單位預算半年結算報告及綜計表(營業部分),"['24371', '35364', '52642', '91826', '107415', '129197']"
中央政府總預算附屬單位預算半年結算報告及綜計表(特別收入基金),"['21519', '35260', '54579', '91829', '107394', '129200']"
中央政府總預算附屬單位預算半年結算報告及綜計表(資本計畫基金),"['21521', '35263', '54586', '91830', '107391', '129210']"
中央政府總預算附屬單位預算及綜計表(營業部分),"['99333', '114738']"
中央政府總預算附屬單位預算及綜計表(非營業部分)-作業基金,"['99479', '114833']"
中央政府總預算附屬單位預算及綜計表(非營業部分)-政事基金,"['99504', '114830']"
中央政府總預算附屬單位預算及綜計表-營業部分,"['6805', '6889', '9409', '9543', '23771', '23772', '30657', '30658']"
中央政府總預算附屬單位預算及綜計表-營業部分-各年度,['37563']
中央政府總預算附屬單位預算及綜計表-非營業部分-各年度,['37575']
中央政府總預算電子書網址_非營業部分,['25334']
中央政府總預算預算案附屬單位預算綜計表(作業基金),['30670']
中央政府總預算預算案附屬單位預算綜計表(債務基金),['30667']
中央政府總預算預算案附屬單位預算綜計表(特別收入基金),['30668']
中央政府總預算預算案附屬單位預算綜計表(資本計畫基金),['30669']
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-作業基金,"['11847', '21556', '23862']"
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-債務基金,"['11849', '21580', '23864']"
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-特別收入基金,"['11848', '21557', '23863']"
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-資本計畫基金,"['11850', '21573', '23865']"
中央政府財政收支狀況,['6940']
中央政府辦公廳舍建置規劃原則,['31921']
中央政府近年投資收益繳庫數,['8229']
中央政府近年營業基金盈餘繳庫數,['8230']
中央政府近年行政及財產收入統計表,['8571']
中央政府近年非營業特種基金賸餘繳庫數,['8228']
中央政府近庫款領取方式統計表,['6941']
中央政府近期公共債務概況表,['12146']
中央政府近總預算財政收支結構分析表,['6745']
中央普通統籌分配稅款(含地方政府統籌分配稅款短少補助)分配金額表,['6746']
中央機關一般職稱雙語詞彙,['6320']
中央機關國家賠償實施概況統計表,['32409']
中央機關國家賠償概況,['10073']
中央機關所屬公營事業或政府持有資本達百分之2十之民營企業(經濟部主管業務部分),['86354']
中央機關終解約案件統計表,['8871']
中央機關經管單房間職務宿舍戶數,['30571']
中央機關經管單房間職務宿舍統計表,['46812']
中央機關經管多房間職務宿舍戶數,['30570']
中央機關經管多房間職務宿舍統計表,['46811']
中央機關經管宿舍統計表,['46814']
中央機關經管眷屬宿舍統計表,['46813']
中央機關經管首長宿舍戶數,['30569']
中央機關經管首長宿舍統計表,['46810']
中央機關辦理國家賠償事件收結情形表,"['13206', '15184']"
中央氣象局代管用戶設備業務暨產品之費用公告,['10454']
中央氣象局前瞻計畫特別決算,['99210']
中央氣象局及附屬氣象測報機構提供場地拍攝影片收費一覽表,['10539']
中央氣象局單位決算,"['10272', '10273', '10274', '10275', '10276', '10278', '10279', '10281', '10282', '17439', '27456', '30620', '78004', '99151', '118083']"
中央氣象局單位預算,['10266']
中央氣象局單位預算案,"['10265', '15497', '21715']"
中央氣象局委託研究計畫(期中/期末)成果報告撰寫說明,['10295']
中央氣象局委託研究計畫申請書,['10298']
中央氣象局年度施政計畫,['10456']
中央氣象局施政計畫,"['10407', '10423', '10425', '10459', '10465']"
中央氣象局核發從事氣象海象預報業務許可證之有效證照,['10315']
中央氣象局概算,['10263']
中央氣象局法定單位預算,['10264']
中央氣象局法定預算,"['10268', '10269', '10270', '10271', '10347', '10348', '27264']"
中央氣象局法定預算(歲入),['10346']
中央氣象局法定預算(歲出),['10345']
中央氣象局海嘯資訊發布作業說明,['10458']
中央氣象局預算案,['10267']
中央災害應變中心目前開設的專案及成立情形,['12848']
中央災害防救委員會-歷次會議紀錄,['9502']
中央災害防救會報-歷次會議紀錄,['9501']
中央災害防救會報-災害防救基本計畫,['25134']
中央災害防救會報-災害防救白皮書,['25133']
中央災害防救會報-災防週報,['25439']
中央特別統籌分配稅款撥付明細表(按地區別),['31110']
中央特別統籌分配稅款支出明細,['8223']
中央特別統籌分配稅款支應地方政府招商獎勵金經費明細表,['31113']
中央特別統籌分配稅款支應社會福利津貼調整經費明細表,['31112']
中央特別統籌分配稅款支應重大天災及公共設施復建經費明細表,['31111']
中央登錄公債 > 中央登錄公債補息資料表,['11657']
中央登錄公債交易彙總表,['9469']
中央登錄公債分割/重組狀況月報表,['9470']
中央登錄公債登記分析表,['9468']
中央研究院植物標本館標本資料,['7511']
中央研究院魚類標本資料,['7512']
中央管區域排水設施範圍公告一覽表,['58679']
中央管排水,['32732']
中央管水門,['32722']
中央管河川河堤,['32730']
中央管河川河川區域公告一覽表,['58681']
中央管海堤,['32731']
中央統籌分配稅款分配制度改進之研究,['11426']
中央統籌分配稅款實徵情形表,['8332']
中央統籌分配稅款撥付及墊借歸扣情形表,['12147']
中央統籌分配稅款收入情形估測表,['12150']
中央統籌分配稅款收入比較分析表,['31114']
中央統籌分配稅款收支月報表,['12189']
中央與地方政府機關體育運動經費相關國民所得毛額、國內生產毛額、中央政府總預算比例,['104905']
中央與地方政府歷年體育運動經費比較表,['104900']
中央與地方政府體育行政主管機關年度預算概況,['11304']
中央與地方政府體育行政主管機關組織人力性別統計,['11302']
中央與地方政府體育行政主管機關組織人力概況,['11303']
中央行政機關室內公共區域免費手機充電站查詢服務,['28592']
中央警察大學-主管補助縣市政府、團體及個人之獎補助經費季報表,['44833']
中央警察大學刑事警察學系專任教師職位分布表,['126782']
中央警察大學外事警察學系教師人數統計表,['126789']
中央警察大學學士班制招生複試體檢結果統計,['126772']
中央警察大學學士班制歷年最低錄取分數,['126771']
中央警察大學學士班制歷年最低錄取分數落點分析,['68626']
中央警察大學學生概況,['14174']
中央警察大學學生總隊實習總隊幹部聯絡一覽表,['127461']
中央警察大學年度參訪統計表,['127460']
中央警察大學年度各班期報考人數統計表,['8661']
中央警察大學年度單位決算,['17310']
中央警察大學年度招生考試複試體檢指定醫院,['8662']
中央警察大學年度法定預算,['12405']
中央警察大學年度預算案,['12415']
中央警察大學招生簡章,['18800']
中央警察大學推廣教育訓練中心警職人員進修結訓人數一覽表,['126792']
中央警察大學教科書一覽表,['73236']
中央警察大學會計報告,['17295']
中央警察大學校長信箱存查案件數統計,['126778']
中央警察大學歷屆考題,['18799']
中央警察大學歷年汽機車安全駕駛訓練人數統計表,['126776']
中央警察大學歷年研討會,['73255']
中央警察大學水上警察學系動力小船訓練參訓及通過人數統計表,['126799']
中央警察大學法律學系專任教師資訊,['126798']
中央警察大學犯罪防治學系暨研究所學生總數,['126773']
中央警察大學畢業人數,['14173']
中央警察大學行政管理學系教師人數統計表,['126784']
中央警察大學行政警察學系專任教師職位分布表,['126779']
中央警察大學警學知識庫論文清單,['126781']
中央警察大學警察科技學院歷年各系所學生與老師比例,['126797']
中央警察大學警政管理學院歷年各系所學生與老師比例,['126777']
中央警察大學鑑識科學學系教師執行計畫數統計表,['126793']
中央警察大學鑑識科學研究委員會接受委託鑑定案件數統計,['126800']
中央財政與預算收支問題及改進之探討,['11559']
中央造幣廠會計報表,['19575']
中央造幣廠決算報表,['18637']
中央造幣廠預算報表,['13461']
中央選舉委員會人民申請政府資訊案件統計,['90260']
中央選舉委員會個人資料項目表,['33341']
中央選舉委員會大事紀,['33336']
中央選舉委員會施政計畫,['33335']
中央選舉委員會決算,['20460']
中央選舉委員會法定預算,['27472']
中央選舉委員會盤點資料表,['27647']
中央選舉委員會計月報,['21327']
中央選舉委員會資料開放諮詢小組會議紀錄,['25318']
中央選舉委員會辦理政策宣導廣告,['11886']
中央選舉委員會預算案,['11889']
中央都市更新基金會計月報,['19374']
中央都市更新基金決算,['21012']
中央都市更新基金法定預算,['21057']
中央銀行公開市場操作資訊,['7242']
中央銀行出版品目錄(中文版),['20531']
中央銀行出版品目錄(英文版),['20532']
中央銀行利率,['10783']
中央銀行同業資金調撥清算作業系統交易量,['7231']
中央銀行委託調查及會費捐助表,['20848']
中央銀行捐助表,['23950']
中央銀行政策宣導之廣告預算執行情形表,['23952']
中央銀行書面之公共工程及採購契約,['10819']
中央銀行會計報表,['18805']
中央銀行標售定期存單資訊,['7243']
中央銀行決算報表,['10801']
中央銀行法令規章-令函,['37308']
中央銀行法令規章-法規,['34103']
中央銀行法令規章-草案預告,['37309']
中央銀行理監事聯席會議決議,['20947']
中央銀行經營政策,['10352']
中央銀行資料開放行動方案,['28482']
中央銀行資料開放諮詢小組會議紀錄,['18434']
中央銀行資產負債統計表,['6536']
中央銀行辦理人民申請提供政府資訊案件統計,['11073']
中央銀行預算報表,['10843']
中小企業協會服務窗口,['29978']
中小企業即時技術輔導計畫通過業者名單,['16394']
中小企業參與政府採購常見問題(FAQ),['45358']
中小企業員工加薪薪資費用加成減除辦法,['86657']
中小企業增僱員工薪資費用加成減除辦法,['86656']
中小企業智權加值服務中心-智權問答,['112556']
中小企業智權加值服務中心-智財專家團隊,['112555']
中小企業榮譽律師基本資料,['32920']
中小企業發展基金出國及赴大陸計畫執行情形,['103810']
中小企業發展基金補捐助團體及個人情形統計表,['16369']
中小企業發展條例,['29979']
中小企業研究發展支出適用投資抵減辦法,['86655']
中小企業網路大學校實體課程,['29793']
中小企業網路大學校會員特性資料統計,['30086']
中小企業網路大學校線上課程,['30085']
中小企業落實消費者保護指引手冊,['29980']
中小企業融資服務平台服務項目,['29800']
中小企業行銷價值躍升計畫_優質商品,['22735']
中小企業行銷價值躍升計畫_行銷服務團顧問名單,['22737']
中小企業認定標準,['86654']
中小企業財務融通電子報,['29794']
中小企業財務顧問群,['86660']
中小企業財會知識庫,['86661']
中小學優良課外讀物推介目錄,['25874']
中小學及幼兒園教師參與進修活動在進修時數與教育階段之情況,['27193']
中小學及幼兒園教師參與進修活動平均研習時數在教育階段與年齡層之情況,['27274']
中小學暨幼兒園各師資類科教師資格檢定情況,['43732']
中小學暨幼兒園在職教師任教學校所屬縣市、公私立別與教育階段之情況,['43733']
中小學暨幼兒園在職教師學歷、公私立別與教育階段之情況,['43734']
中小學暨幼兒園在職教師學歷與任教學校所屬縣市之情況,['43735']
中小學暨幼兒園在職教師年齡層與各教育階段公私立別人數之情況,['43736']
中小學資訊素養教學教材,['41560']
中彰榮民之家公務電話一覽表,['8509']
中文主題編目規範,['27190']
中文法規_命令資料檔下載,['18290']
中文法規_法律資料檔下載,['18289']
中東及近東地區自臺灣進口產品之市佔情形,['45370']
中東及非洲地區對臺貿易障礙調查報告,['25655']
中東地區駐外單位聯絡資訊,['41504']
中正國防幹部預備學校現有栽植樹木種類一覽表,['8860']
中正國防幹部預備校101學年度校外學藝競賽成果,['8862']
中正幹部預備學校沿革史校風校訓,['9527']
中正紀念堂兒童網站 -認識中正紀念堂故事,['28354']
中正紀念堂兒童網站-每日1學,['28355']
中正紀念堂典藏目錄,['35286']
中正紀念堂影音目錄,['49913']
中正紀念堂新聞稿,['105185']
中正紀念堂會計報告,['104216']
中正紀念堂決算報表,['34427']
中正紀念堂行政規則,['105738']
中正紀念堂預算報表,['105140']
中正預校「幸福音樂Box」演奏申請辦法,['41132']
中正預校「蚊媒傳染病防治」注意事項,['41124']
中正預校圖書館利用教育服務,['41131']
中正預校圖書館現有性別藏書,['8859']
中正預校學生員額統計表,['13287']
中正預校教師學歷統計表,['13288']
中正預校歷任校長任期,['8554']
中正預校流感注意事項,['41123']
中正預校重申「茲卡病毒傳染病」防治注意事項,['41125']
中正預校高、國中部各年班畢業總成績第1名學生,['8861']
中正預校高中部報考資料,['8430']
中油3輕環境監測資料,['34849']
中油3輕環評監督委員會會議紀錄,['34911']
中油主產品牌價,['6339']
中油天然氣牌價,['8304']
中油燃料油牌價,['9751']
中油生技經銷商名單,['13185']
中港園區動產擔保交易資料,['32669']
中港園區區內事業名錄資訊,['22289']
中港園區各業別投資金額,['32666']
中港園區各類別採購案件資訊,['41484']
中港園區就業訊息,['16483']
中港園區工廠名錄,['41486']
中港園區年度勞工育樂活動,['32671']
中港園區廠商海關監管資訊,['32667']
中港園區新聞稿清單,['79656']
中港園區於傳媒(含平面、網路、廣播)辦理政策宣導之相關廣告費用統計資訊(公務預算),['16487']
中港園區營業聯絡處所廠商名錄,['22290']
中港園區獲准投資區內事業行業別統計,['25791']
中港園區產業別土地使用狀況,['16503']
中港園區群聚的產業別及廠商名稱,['93996']
中獎落點統計-B2C電子發票統計_依鄉鎮市區-資料集,['24838']
中獎落點統計-中獎電子發票統計_依行業別-資料集,['24839']
中獎落點統計-中獎電子發票統計_依鄉鎮市區-資料集,['24840']
中科后里環境監測資料,['34850']
中科后里環評監督小組會議紀錄,['34912']
中程國家發展計畫新聞稿,['34020']
中程國家發展計畫簡報,['34019']
中程施政計畫,"['58652', '119361']"
中等以下各級學校僑生、港澳生及畢業生人數,"['33506', '33507']"
中等以下學校僑生人數,['40116']
中等學校師資類科師資生完成學科專門課程之情況,['78597']
中美洲地區自臺灣進口產品之市佔情形,['62467']
中老年就業狀況調查,['10910']
中興新村廁所,['127174']
中華函授學校學生入學人數-性別及年齡別,['56022']
中華書局出版大陸叢書,['103104']
中華民國(臺灣)政府與史瓦帝尼王國政府受刑人移交暨刑罰執行合作協定,['103027']
中華民國信託業商業同業公會公益信託業務統計,['13576']
中華民國信託業商業同業公會各會員單位承辦信託業務一覽表,['13575']
中華民國信託業商業同業公會最新消息,['11720']
中華民國信託業商業同業公會有價證券之信託業務統計,['13829']
中華民國信託業商業同業公會相關法規,['11721']
中華民國信託業商業同業公會研究報告,['11722']
