102-104歷年累進起點地價,['89078']
電器承裝業申請案件統計表,['73606']
青少年親善門診,['74762']
非都市土地使用地變更編定筆數及面積,['73727']
非都市土地開發案件一覽表,['73603']
預算書,"['73327', '73328', '73372']"
頭份市各里人口數,"['74519', '100238', '118345']"
頭屋鄉各村人口數,"['74543', '100249', '118373']"
食品標示認真看,['74850']
餐飲分級評核優良級業者,['97481']
餐飲分級評核名單,['74764']
餐飲評核名單,['114488']
高架橋下空間土地申請使用處理原則,['75871']
高齡友善城市監測調查問卷,['74766']
