105-106 年地價稅累進起點地價及課稅級距表,['94367']
社福統計數據_65歲以上老人健保費自付額補助人次與金額,['32262']
社福統計數據_特殊境遇家庭扶助服務(第1、2季),['32264']
禁止遊動廣告物車輛停放路段及時間一覽表,['76726']
福利補助申請資格資訊,['26017']
福利補助資訊,['26032']
科技工業園區廠商名錄,['128822']
稅務機關資訊位置表,['43232']
空品淨化區資訊,['25970']
立圖書館地址通訊錄,['30908']
立木藝生態博物館所屬館舍,['49423']
立木藝生態博物館街角館,['26987']
立案不動產估價師事務所清冊,['30928']
立案公私立幼兒園名冊,['25958']
立案工會名冊,['26011']
立案老人福利機構評鑑資料,['25920']
立案補習班資料,['26010']
第1屆區民代表通訊錄,['26492']
第1階段麵粉工廠稽查結果,['46415']
管河川主要橋樑計畫洪水位,['46430']
精神復健機構暨精神護理機構,['26031']
精神醫療院所,['76751']
糖尿病共同照護網醫療院所名單,['46356']
經濟部推薦工商綜合區總表,['26273']
綠色商店,['26006']
網球場收費標準表,['25882']
締盟城市締結資料,['25904']
總決算歲入來源別,['43453']
總決算歲出,"['43452', '43456']"
總決算附屬單位決算及綜計表,['43454']
總預算收支簡明比較分析表,['46302']
總預算歲入來源別預算比較總表,['45960']
總預算歲入來源別預算總表,['46248']
總預算歲入歲出性質及餘絀簡明比較分析表,['45959']
總預算歲入歲出簡明比較分析表,['46344']
總預算歲出預算比較總表,"['43451', '46224']"
總預算歲出預算總表,"['43457', '46434']"
績優企業,['43235']
績優社區發展協會名冊,['96526']
義勇消防人員傷亡,['45558']
義勇消防人員數,['31500']
老人及身心障礙者送餐服務提供單位清冊,['78841']
老人文康福利服務中心,['94329']
老人福利機構,['94334']
老人餐飲服務提供單位,['94341']
職業安全衛生教育訓練機構,['26049']
職災慰問金發放統計表,['26061']
職訓開班一覽表,['26130']
腎臟病健康促進機構醫院名單,['48985']
臨時暨短期照顧服務之服務單位,['74678']
自來水承裝業業者名單,['25980']
自動體外心臟電擊器(AED)資源統計,['26021']
自行車竊盜點位,['31952']
自辦市地重劃區,['28641']
臺灣國際機場固定式航空噪音監測站監測資料,['26107']
航空噪音防制區,['25951']
航空城都市計畫-機場園區建設計畫區段徵收面積表,['31877']
航空城都市計畫-附近地區發展區區段徵收面積表,"['31872', '31873']"
航空城都市計畫土地使用計畫面積表,['31875']
菸酒製造業者資料一覽表,['26019']
菸酒進口業者資料一覽表,['41865']
藝文人士名冊,['26125']
藝文組織,['25948']
藝文設施管理中心藝文活動,['25983']
藥商家數,['26091']
藥物廣告審查件數統計表,['127365']
藥癮戒治及替代治療執行機構名單,['33755']
行政區代碼及名稱對照資料,['76781']
行政院食品安全聯合稽查及取締小組-鹽稽查計畫稽查結果,['44620']
街頭藝人名單,['127416']
街頭藝人展演場地,['127953']
衛生局抽驗食品不合格名單,"['41170', '99911', '99916']"
衛生局抽驗食品合格名單,"['41167', '99914', '99922']"
衛生所(含診療科別),['46235']
衛生所精神照護聯絡窗口,['33753']
衛生掩埋場資料,['76762']
表演藝文空間,['25957']
補助勞工教育及育樂活動概況,['45607']
補助私有古蹟、歷史建築及紀念建築日常管理維護計畫經費核定一覽表,['46640']
視聽歌唱業等特定行業清冊,['79067']
視覺功能障礙者生活重建服務,['75555']
視障按摩院所及按摩小站(駐點),['25984']
視障街頭藝人名冊,['46453']
觀光工廠,['26002']
觀光旅遊局國家賠償新收請求案件數量統計年報表,['31878']
觀光旅遊局對民間團體補(捐)助經費資料,['31581']
觀光旅遊局觀光文宣印製量,['75218']
設置防焰物品場所,['31494']
許可仲介本國人在國內工作之私立就業服務機構停業資料,['46295']
調解業務民間團體名冊,['26081']
警察局主管預算表,['31407']
警察局交通警察大隊預算表,['31579']
警察局保安警察大隊預算表,['31468']
警察局公務人員,"['26070', '26071', '26117']"
警察局分局預算表,"['31406', '31459', '31482', '31487', '31490', '31493', '31495', '31497', '31498', '31501']"
警察局刑事警察大隊預算表,['31466']
警察局員工總人數,['25928']
警察局執行家戶訪查發現及處理戶口(籍)案件成果,['26101']
警察局婦幼警察隊預算表,['46368']
警察局少年警察隊預算表,['31491']
警察局局本部預算表,['31464']
警察局巡邏箱數量,['28718']
警察局為民服務成果,['26110']
警察局路口監視器,['25892']
警察局轄區現住人口、性別比例及人口密度,['26053']
警察局轄區現住人口年齡分配,['26027']
警察局預算彙整表(各年度、所屬各機關),['31404']
警察服務據點,['25975']
議員通訊錄,['99921']
護理之家通訊錄,['76744']
財團法人教會堂及基金會名冊,['26480']
財團法人教育基金會清冊,['26094']
資源回收成果統計,['76753']
資訊休閒業登記清冊,['76829']
資訊可變標誌動態資訊,['26112']
資訊可變標誌設備資訊,['26020']
起火建築物,['31229']
路外停車資訊,['25940']
路邊停車資訊,['26102']
身心障礙住宿機構,['94320']
身心障礙托育養護服務提供單位,['94338']
身心障礙日間照顧機構,['94345']
身心障礙福利服務中心,['94276']
身心障礙福利機構,['25897']
身心障礙者居家服務委辦單位,['75574']
身心障礙者庇護工場,['26099']
身心障礙者手語翻譯服務中心,['94322']
身心障礙者日間照顧及住宿式照顧機構名冊,['75560']
身心障礙者牙科特別門診醫療院所,['76747']
身心障礙者社區式日間照顧服務站,['75569']
身心障礙者社區日間作業設施服務單位名冊,['75565']
身心障礙者社區樂活補給站,['75553']
身心障礙者社區資源中心,['25982']
身心障礙者醫療輔具評估機構一覽表,['128336']
身心障礙鑑定醫院,['94357']
身心障礙類別、向度之鑑定醫院名冊,['128335']
身心障礙餐飲服務提供單位,['96527']
車輛偵測器動態資料,['26015']
車輛偵測器設備資訊,['26067']
軍方管有土地使用情形面積統計表,['27135']
輔具服務單位,['96442']
轄內中醫診所(含診療科別),['44619']
轄內牙醫診所(含診療科別),['44623']
轄內私立就業服務機構從事跨國人力仲介服務品質評鑑結果,['46244']
轄內西醫診所(含診療科別),['46409']
轄內醫務室(含診療科別),['44618']
轄內醫院(含病床數),['46236']
轄區內醫療院所診療科別,['32256']
轄區禁行大貨車路段一覽表,['76728']
轄區開放砂石車行駛路段,['87889']
辦公大樓導覽,['25909']
辦理勞工體格與健康檢查醫療機構認可醫療機構名單,['75223']
辦理民間參與公共建設前置作業階段案件統計表,['76734']
辦理民間參與公共建設已簽約案件統計表,['76733']
辦理違反市火災預防自治條例案件裁罰基準,['76879']
農村再生社區,['41655']
農業局產銷履歷清冊,['75226']
農業局農產面積及產量資料,['105746']
農水路更新改善計畫,['46250']
近易發生溺水案件區域,['127364']
遊民外展服務中心,['75557']
遊民服務民間資源,['96525']
道路挖掘資訊,['25880']
道路禁挖區,['101256']
違反兒童及少年福利與權益保障法執行概況,['75552']
違反社會秩序維護法案件,['26100']
遠距健康量測據點,['26349']
適性就業輔導促進就業計畫-就業促進研習課程,['101240']
避難收容所,['32259']
避難收容所位置及收容人數,['96452']
都市更新及爭議處理審議委員會,['28130']
都市更新地區,['31874']
都市發展局各項申辦業務列表,['27138']
都市發展局國家賠償月報表,['28105']
都市發展局採購招標案件一覽表,['27142']
都市發展局數值地形圖查詢及申請案件統計一覽表,['27161']
都市發展局新訂自治法規,['27133']
都市發展局新訂行政規則,['27160']
都市發展局機關通訊錄,['30957']
都市發展局職員學歷統計報表,['27143']
都市發展局職員官等性別統計報表,['27150']
都市發展局職員年資統計報表,['27159']
都市發展局職員年齡統計報表,['27155']
都市發展局職員異動資料統計報表,['27132']
都市發展局職員考試統計報表,['27146']
都市發展局遊說法案件受理情形月報表,['28075']
都市發展局電子化會議統計表(以名義召開),['28113']
都市發展電子化會議統計表(以都市發展局名義召開),['28109']
都市計畫區域內公共工程實施數量,['49175']
都市計畫區域內現有已開闢道路長度及面積暨橋梁座數、自行車道長度,['49179']
都市計畫土地使用分區證明書申請件數,['28103']
都市計畫土地使用分區證明書申請方式統計,['28099']
都市計畫土地使用面積,['31341']
都市計畫地區種類,['31340']
都市計畫委員會,['26052']
都市計畫容積移轉申請案件數,['28090']
都市計畫整併範圍界定方式綜整表,['28070']
都市計畫樁位成果公告數,['28097']
都市計畫私有公共設施保留地與公有非公用土地交換辦法統計,['28057']
都市計畫面積及人口,['31345']
都市設計審議委員第1審議會全年審議結果數,['28060']
都市設計審議委員第1審議會受理審議案件通過/未通過率,['28077']
都市設計審議委員第1審議會受理案件量,['28233']
都市設計審議委員第1審議會委員,['26811']
都市設計審議委員第2審議會全年審議結果數,['31343']
都市設計審議委員第2審議會受理審議案件通過/未通過率,['28117']
都市設計審議委員第2審議會受理案件量,['28082']
都市設計審議委員第2審議會委員,['26808']
配電系統人手孔,['25950']
配電設備,['26013']
酸雨監測,['25938']
醫事人員執業人數,['26016']
重劃區抵費地標售結果統計表,"['28677', '28679', '28684']"
重大投資成果,['43236']
長期照顧管理中心,['94355']
長照ABC服務中心,['46350']
長者裝置活動假牙合約醫療院所,['26030']
長青學苑辦理單位名冊,['75573']
長青學苑辦理單位聯繫表,['96453']
防火管理人專業機構通訊錄,['47354']
防火管理執行情形,['31499']
防災教育館暨消防分隊駐地位置圖,['128700']
防焰性能認證合格廠商,['31483']
防空避難設備,['25915']
附屬單位決算作業基金平衡綜計表,['47816']
附屬單位決算作業基金平衡綜計表_依基金別分列,['113941']
附屬單位決算作業基金平衡綜計表_依科目分列,['127948']
附屬單位決算作業基金收支餘絀綜計表,"['47801', '47807']"
附屬單位決算作業基金收支餘絀綜計表_依基金別分列,['127947']
附屬單位決算作業基金收支餘絀綜計表_依收支科目分列,['127946']
附屬單位決算作業基金現金流量綜計表,['47803']
附屬單位決算作業基金現金流量綜計表_依基金別分列,['127949']
附屬單位決算作業基金現金流量綜計表_依現金流量項目分列,['112399']
附屬單位決算作業基金餘絀撥補綜計表,['47806']
附屬單位決算作業基金餘絀撥補綜計表_依基金別分列,['127955']
附屬單位決算作業基金餘絀撥補綜計表_依撥補項目分列,['127945']
附屬單位決算營業基金損益綜計表,"['47811', '47823']"
附屬單位決算營業基金現金流量綜計表,"['47794', '47819']"
附屬單位決算營業基金盈虧撥補綜計表,"['47797', '47805']"
附屬單位決算營業基金財務摘要綜計表,['48233']
附屬單位決算營業基金資產負債綜計表,"['47809', '47810']"
附屬單位決算特別收入基金來源用途及餘絀綜計表,"['94242', '105998', '105999']"
附屬單位決算特別收入基金平衡綜計表,['47796']
附屬單位決算特別收入基金平衡綜計表-依項目分列,['94237']
附屬單位決算特別收入基金平衡綜計表_依基金別分列,"['105994', '106000']"
附屬單位決算特別收入基金現金流量綜計表,['47821']
附屬單位決算特別收入基金現金流量綜計表-依基金別分列,['94239']
附屬單位決算特別收入基金現金流量綜計表-依現金流量項目分列,['94241']
附屬單位決算特別收入基金現金流量綜計表_依基金別分列,"['105995', '106001']"
附屬單位預算作業基金固定資產建設改良擴充資金來源綜計表,['47812']
附屬單位預算作業基金收支餘絀綜計表,"['47802', '48228', '127954']"
附屬單位預算作業基金現金流量綜計表,"['47813', '47814', '78444']"
附屬單位預算作業基金餘絀撥補綜計表,"['47800', '48230', '78446']"
附屬單位預算營業基金固定資產建設改良擴充資金來源綜計表,['47824']
附屬單位預算營業基金損益綜計表,"['47817', '48234']"
附屬單位預算營業基金現金流量綜計表,['47822']
附屬單位預算營業基金現金流量綜計表_依基金別分列,['48229']
附屬單位預算營業基金盈虧撥補綜計表,"['47815', '48231']"
附屬單位預算營業基金財務摘要綜計表,['47820']
附屬單位預算特別收入基金來源、用途及餘絀綜計表,['47795']
附屬單位預算特別收入基金現金流量綜計表,"['47808', '48236', '78466']"
限制水域遊憩活動區域,['41708']
集老店,['46619']
雨水系統人手孔,['25910']
雨水系統管線,['128525']
電動2輪車充電站,['25895']
電動機車停車場(位)資訊,['25990']
電子遊戲場業登記清冊,['76085']
電氣承裝-登記家數清冊,['46590']
震災災害人員傷亡,['45559']
震災災害出動救災人次,['46399']
震災災害出動救災裝備,['45550']
震災災害建物損失,['45561']
青年事務局熱點資料一覽表,['44715']
青年事務局青創基地,['105085']
青年事務局青年創藝聚落,['105086']
非營利組織發展中心,['96524']
非營利組織發展中心(非營利組織培力及志願服務推廣業務),['75544']
領有溫泉標章之溫泉使用事業名單,['31654']
願意配合推動供氣定型化契約瓦斯行清冊,['31362']
風景區管理處-後慈湖、小烏來婚紗攝影申請一覽表,['32246']
風景區管理處-轄管場地租借申請一覽表,['31951']
風災災害人員傷亡,['45547']
風災災害出動救災人次,['45565']
風災災害出動救災裝備,['45553']
風災災害建物損失,['46404']
颱風來襲管制區域,['45564']
食品(健康食品)標示調查案件統計表,"['99912', '99918', '106206']"
食品(健康食品)標示違規行政裁處案件統計表,"['99915', '99919', '99923']"
食品(食材)逾有效日期違規行政裁處案件統計表,['108053']
食品廣告違規案件調查結果,"['99920', '99994']"
食品標示違規案件調查結果統計表,['108054']
食品衛生檢驗收費基準表,['41165']
食品製造業工廠清冊,['76107']
食安聯稽查核結果,['43718']
飲用水質監測,['101245']
餐飲優良衛生分級名單,['76749']
餐飲衛生管理分級評核,['95646']
體育局暑期育樂營,['49422']
體育局運動休閒中心,['46393']
高榮野生動物保護區,['41654']
高風險家庭關懷輔導處遇服務提供單位,['94304']
高齡友善藥局暨13區衛生所名單,['33870']
