10609-滯納案件移送執行情形,"['121801', '121802']"
空氣污染稽查處分概況年報表,['121450']
空氣盒子即時量測資料,['128315']
立動物園_動物資料,['121197']
立動物園_服務設施,['121127']
立動物園_植物資料,['121345']
立動物園_行事曆,['121202']
立動物園_館區簡介,['121255']
立圖書館各分館暨民眾閱覽室,['121431']
立大學交通位置圖,['121183']
立大學校園平面圖,['129194']
立文獻館場館介紹,['121920']
站位資訊,['128740']
站牌,['128743']
竹子湖海芋觀光農園資料,['121533']
第1學期臨時特教助理員核定情形一覽表(0615),['121895']
節稅秘笈電子書,['121964']
簽署同意書提醒事項,['128515']
精神復健暨精神護理機構,['121265']
精神科診所,['121665']
精神醫療院所,['121664']
緊急救護到院前心肺功能停止傷病患統計,['121978']
緊急救護服務統計次數,['121979']
總決算,['121380']
總決算附屬單位決算,['127832']
總預算,"['122009', '130197']"
總預算附屬單位預算,['122008']
總預算附屬單位預算案,['128837']
翡翠水庫水質月報表,['121544']
翡翠水庫水質資料,['121132']
翡翠水庫淤積調查報告,['121542']
老人健康檢查特約醫事機構,['121269']
老人安養暨長期照顧機構評鑑,['121983']
聯管平臺事件訊息,['128454']
職期遷調案件,['121523']
臨時特教助理員核定情形一覽表(0615),['121894']
自來水管承裝商業者,['121277']
自行劃定更新單元查詢,['128511']
自行車停放區,['128289']
自行車停放區(oBike加值版),['121841']
自行車可通行之橋樑,['127188']
自行車河濱出入口,['121234']
自行車租借紀錄,['130034']
自行車竊盜點位資訊,['130311']
自行車道(河濱),['121235']
自起各年度債務未償餘額實際數表,['121582']
至歲入預決算比較表,['121348']
臺北e大數位學習報名統計,['121975']
臺北e大數位學習網課程清單,['121525']
臺北地區災時供水狀態資訊,['128638']
臺北孔廟4D劇院場次表,['121712']
臺北小巨蛋主場館活動使用空間租用資訊,['128520']
臺北小巨蛋冰上樂園場地使用資訊,['128570']
臺北小巨蛋場地租用資訊,['128571']
臺北小巨蛋廣告租用資訊,['128572']
臺北小巨蛋廣場租用資訊,['128573']
臺北廣播電臺中文節目表,['121175']
臺北廣播電臺英文節目表,['121271']
臺北惜物網服務概況,['121565']
臺北捷運全系統旅運量統計,['128641']
臺北捷運列車到站站名,['128941']
臺北捷運各站分時進出量統計,['128506']
臺北捷運各站進出量統計,['128683']
臺北捷運地下人行廣場出租基本資料,['128422']
臺北捷運地下街店舖出租基本資料,['128423']
臺北捷運廣場各場地活動日期及名稱,['128521']
臺北捷運移設連通基本資料,['128419']
臺北捷運系統相鄰兩站間之行駛時間、停靠站時間,['128420']
臺北捷運系統票價,['128418']
臺北捷運系統防洪設計標準,['121351']
臺北捷運自行車停車場GPS座標,['128415']
臺北捷運藝文廊各場地展覽資訊,['128519']
臺北捷運販賣店出租基本資料,['128425']
臺北捷運車站i郵箱基本資料,['128413']
臺北捷運車站免費接駁車路線,['128421']
臺北捷運車站出入口座標,['128428']
臺北捷運車站出入口無障礙電梯、無障礙坡道GPS座標,['128414']
臺北捷運車站周邊轉乘停車場資訊,['128496']
臺北捷運車站廣告契約出租資料,['128424']
臺北捷運車站無障礙設施異常公告,['127817']
臺北捷運車站無障礙設施資料,['128416']
臺北捷運車站無障礙電梯位置,['128408']
臺北捷運車站設施資訊,['128453']
臺北捷運車站電梯維修預排時程表,['128499']
臺北捷運轉乘停車場座標,['128412']
臺北捷運轉乘車站轉乘步行時間,['128417']
臺北旅遊網景點資料(中文),['128696']
臺北旅遊網景點資料(英文＆其他語言),['128698']
臺北旅遊網活動展演,['128364']
臺北旅遊網美食消費店家,['128365']
臺北生技獎得獎名單,['121535']
臺北自來水事業處漏水率資訊,['122051']
臺北自來水事業處無障礙設施資料表,['128635']
臺北自來水事業處用戶水表統計表,['128636']
臺北花市休市日,['128232']
臺北都市更新容積獎勵案件統計表,['129516']
臺北都會區大眾捷運系統路網圖,['121208']
臺北都會區大眾捷運系統車站點位圖,['121140']
臺灣健康社區6星計畫社區治安績效季報表,['130097']
與各姊妹市締結資料,['127194']
與連江縣縣民卡跨域整合服務-優惠活動資訊,['128769']
與連江縣縣民卡跨域整合服務-消費資訊,['128737']
與連江縣縣民卡跨域整合服務-特約商店資訊,['128736']
航空噪音防制區圖,['127185']
花卉批發市場休市日,['122005']
花卉批發市場休市日資訊,['128248']
花博公園展館資訊,['121534']
花木批發市場休市日,['122004']
花木批發市場休市日程表,['121928']
菸酒製造業者資料一覽表,['121176']
藍色公路碼頭,['128205']
藝文館所,['121272']
藥商許可清冊,['121505']
藥局,['127180']
號誌位置,['121890']
行人專用時相路口及時段,['121233']
行人專用清潔箱,['121355']
行政救濟案件統計表,"['121686', '121870', '121939']"
行政機關辦公日曆表,['127182']
行道樹分布圖,['128274']
街道家具候車亭廣告資訊,['121562']
街頭藝人,['121338']
衛生局水質抽驗結果,['121918']
補助私人團體經費報告,['121409']
視障按摩院所名冊,['121171']
訴願審議委員會委員,['128836']
調撥車道,['121209']
警察局受理網路報案統計表,['121561']
警察局各分局巡邏線箱數量,['121496']
警察局名稱及地址,['130095']
警察局文具物品管理表,['121540']
警察局錄影監視系統設置區位,['130094']
貓空纜車團體預約統計資料,['128498']
財團法人台北市文化基金會預算書,['130195']
財團法人台北市文化基金會預算案,['130266']
財團法人教育基金會清冊,['121528']
財團法人郭錫瑠先生文教基金會預算書(議會審定),['130220']
財政局主導辦理都市更新案件進度表,['121357']
財政局經管市有閒置房地公開標售清冊,['121364']
財政局經管市有閒置房地公開標租清冊,['121361']
財政局經管市有非公用閒置土地清冊,['121365']
財政局經管市有非公用閒置建物清冊,['121363']
財政局與國防部政治作戰局合作開發國有土地案件一覽表,['121360']
財政局辦理市有非公用土地設定地上權案(已簽約)一覽表,['121367']
財產統計表,['121545']
資源回收分類方式,['121240']
資訊可變標誌(CMS)顯示內容,['129029']
超級市場,['121596']
路外停車場,['128290']
路外停車場出入口,['121864']
路燈位置分布圖,['128270']
路線,['129024']
路線及營業站對應,['129026']
路邊停車格位,['128288']
路邊停車格位使用情形,['128617']
身心障礙停車格,['121429']
身心障礙者服務-住宿機構,['121320']
身心障礙者服務-團體家庭,['121322']
身心障礙者服務-日間服務機構,['121328']
身心障礙者服務-早期療育社區資源中心,['121326']
身心障礙者服務-社區居住,['121323']
身心障礙者服務-社區日間作業設施,['121325']
身心障礙者服務-社區日間活動據點,['121324']
身心障礙者服務-福利服務中心,['121319']
身心障礙者服務-精神障礙者會所,['121321']
身心障礙者服務-身心障礙者資源中心,['126972']
身心障礙者服務-輔具服務中心,['121327']
身障人口原始資料,['121833']
身障就業資源地圖,['121439']
身障社區長照機構,['121984']
車機異常資訊,['128707']
車站出口公車資訊,['128475']
車輛偵測器(VD)資料,['128709']
車輛基本資訊,['128708']
軍人公墓(忠靈祠)葬厝表,['121403']
軟體工業園區廠商資料名錄,['121577']
輪狀病毒疫苗補助特約院所名單,['121915']
辦理民間參與公共建設已簽約案件統計表-截至,['128410']
辦理民間參與公共建設案件統計表-截至,['128411']
農村再生各社區資源一覽表,['121862']
農業用地允許使用申請,['121442']
農業類農情調查資料,['121529']
農產(果菜)批發市場休市日資訊,['121598']
近市有財產總目錄,['121587']
近歲入結構表,['121583']
迪化污水處理廠回饋金,['128381']
迪化污水處理廠水質水量速報,['128384']
通過餐飲衛生管理分級評核業者名單,['121572']
遊民服務-遊民中途之家,['121330']
道路交通音量監測不合格情形,['121937']
道路申請活動使用管制圖資,['128785']
道路速率,['129030']
違反台北市營業衛生管理自治條例違規案件,['121707']
違反身心障礙者權益保障法第38條規定未足額進用名單,['121438']
違章漏稅案件處理情形,"['121945', '121947']"
都市再生前進基地推動計畫補助要點,['128273']
都市更新事業(重建區段)建築物工程造價要項,['128517']
都市更新事業及權利變換計畫內有關費用提列總表,['128516']
都市更新停看聽,['128514']
都市更新及爭議處理審議會歷次會議通案重要審議原則,['128568']
都市更新相關法規,['128271']
都市計畫委員會委員名單,['130263']
都市計畫委員會會議紀錄,['130264']
都更中心預算書(審議前),['130217']
都更中心預算書(審議後),['130218']
鄰界圖,['121424']
醫療收費標準,['121913']
醫療糾紛申訴案件統計,['121557']
醫療違規裁處案件統計,['121556']
里界圖,['121163']
重大欠稅公告,['127856']
重大職災資訊,['128220']
銀髮族據點課程資訊API,['121911']
銀髮族服務-互助家庭,['126970']
銀髮族服務-各老人服務中心,['121280']
銀髮族服務-失智照顧型,['121279']
銀髮族服務-安養機構,['121282']
銀髮族服務-家庭照顧者服務中心,['126971']
銀髮族服務-小規模多機能,['121317']
銀髮族服務-居家服務,['128777']
銀髮族服務-石頭湯社區照顧,['121287']
銀髮族服務-社區照顧關懷據點,['121285']
銀髮族服務-老人公寓,['121284']
銀髮族服務-老人日間照顧中心,['121283']
銀髮族服務-長期照顧型,['121286']
銀髮族服務-長青學苑,['121289']
銀髮族服務-養護型,['121281']
防溺重點水域一覽表,['121215']
防災公園,['128189']
防空警報臺數量,['121531']
防空避難設備,['121539']
附屬路線與路線對應資訊,['128741']
降雨淹水模擬圖,['121550']
降雨淹水模擬圖(社群加值版),['121554']
隧道資訊,['128938']
雙語詞彙,['121526']
雨水下水道管線資料,['128367']
電動公車,['121971']
電動機車充電地址,['121184']
電器承裝業業者,['121291']
電視新聞統計週報,['121573']
青年創業融資貸款,['121537']
非市有可供提案活化公地,['121891']
非市有可供提案活化公地清冊,['121940']
非營業用卡拉OK噪音告發案件點位資訊,['121647']
預估到站時間(公車),['129025']
預定班表資訊,['129028']
預立醫療照護諮商(ACP),['121987']
預防接種合約醫療院所,['128369']
颱風期間開放停車學校一覽表,['127192']
食材登錄平台-夜市專區,['128311']
食材登錄平台-機關員工餐廳專區,['128312']
食材登錄平台-西式連鎖速食專區,['121670']
食材登錄平台-賣場與連鎖店專區_伴手禮,['128313']
食材登錄平台-賣場與連鎖店專區_飲冰品,['128314']
食材登錄平台-連鎖咖啡廳專區,['121834']
食材登錄平台開放資料專區(TEST),['128936']
食藥粧網路地圖,['122017']
飲用水檢驗測定機構,['121611']
飲用水水質檢驗資料,['121614']
騎樓整平工程完成路段表,['128426']
體育局自營運動場館,['127187']
