企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,10217,企業關於反托拉斯之遵法行為守則,企業關於反托拉斯之遵法行為守則,公平交易委員會
多層次傳銷業歷年其他商品營業額,多層次傳銷業歷年其他商品營業額,32390,多層次傳銷業歷年其他商品營業額(自81年起)(為求歷年資料具一致性，此所稱其他商品係指調查表所列舉特定商品類別以外之商品，亦即包含骨灰罐與生前契約。),年度;金額(億元),公平交易委員會
多層次傳銷業歷年加入傳銷比率,多層次傳銷業歷年加入傳銷比率,32382,公平交易委員會調查多層次傳銷業歷年(自81年起至今)加入傳銷比率,年度;加入傳銷比率(%),公平交易委員會
多層次傳銷業歷年清潔用品營業額,多層次傳銷業歷年清潔用品營業額,32388,多層次傳銷業歷年清潔用品營業額(自81年起),年度;金額(億元),公平交易委員會
多層次傳銷業歷年營業總額,多層次傳銷業歷年營業總額,32387,多層次傳銷業歷年營業總額(自81起至今),年度;營業總額(億元),公平交易委員會
多層次傳銷業歷年營養食品營業額,多層次傳銷業歷年營養食品營業額,32391,多層次傳銷業銷售營養食品歷年營業額(自81年起)(為求歷年資料具一致性，此所稱營養食品類 107 年前包含營養食品及代餐食品，108 年包含食品、特殊營養食品及健康食品。),年度;金額(億元),公平交易委員會
多層次傳銷業歷年領取佣(獎)金者之傳銷商人數,多層次傳銷業歷年領取佣(獎)金者之傳銷商人數,32383,多層次傳銷業歷年領取佣(獎)金者之傳銷商人數(自84年起),年度;領取佣(獎)金人數(千人),公平交易委員會
多層次傳銷歷年傳銷商人數,多層次傳銷歷年傳銷商人數,32384,多層次傳銷歷年傳銷商人數(自81年起)其中民國100 年因修正傳銷商人數相關問項及傳銷商人數計算方式與重新調查「重複參加率」，使傳銷商人數與實際接近。,年度;傳銷商人數(千人),公平交易委員會
多層次傳銷歷年實施家數,多層次傳銷歷年實施家數,32385,多層次傳銷歷年實施家數(自81年起)本資料集之歷年實施家數係指調查當年度有向本會回報營運資料且實施多層次傳銷之事業家數,年度;實施家數,公平交易委員會
多層次傳銷歷年美容保養品營業額,多層次傳銷歷年美容保養品營業額,32389,多層次傳銷歷年美容保養品營業額(自81年起),年度;金額(億元),公平交易委員會
多層次傳銷歷年領取佣(獎)金者之平均領取金額,多層次傳銷歷年領取佣(獎)金者之平均領取金額,32386,多層次傳銷歷年領取佣(獎)金者之平均領取金額(資料自84起),年度;平均佣(獎)金額(元),公平交易委員會
委員性別比例統計,公平交易委員會委員性別比例統計,32395,"公平交易委員會委員性別比例統計(資料收集自101年至今), 本會委員係由行政院院長提名，經立法院同意後任命。",年份;委員性別(男性)(人數/比例);委員性別(女性)(人數/比例),公平交易委員會
委員會議記錄,公平交易委員會-委員會議記錄,10226,公平交易委員會委員會議記錄,公平交易委員會委員會議記錄發文日期;案由;資料下載網址;備註,公平交易委員會
委託研究-經濟分析方法於競爭法議題應用之研究,102年委託研究-經濟分析方法於競爭法議題應用之研究,10223,102年委託研究-經濟分析方法於競爭法議題應用之研究,102年委託研究-經濟分析方法於競爭法議題應用之研究,公平交易委員會
委託研究-非價格垂直適用「合理原則」之違法考量因素,102年委託研究-非價格垂直適用「合理原則」之違法考量因素,10222,102年委託研究-非價格垂直適用「合理原則」之違法考量因素,102年委託研究-非價格垂直適用合理原則之違法考量因素,公平交易委員會
委託研究計畫研究主題表,公平交易委員會104年度委託研究計畫研究主題表,32392,公平交易委員會104年度委託研究計畫研究主題表,研究主題;研究重點;委託研究對象,公平交易委員會
委託研究計畫研究主題表,公平交易委員會105年度委託研究計畫研究主題表,32393,公平交易委員會105年度委託研究計畫研究主題表,研究主題;研究重點;委託研究對象,公平交易委員會
實際參與傳銷活動傳銷商數比率,實際參與傳銷活動傳銷商數比率,9108,截至102年底多層次傳銷事業實際參與傳銷活動傳銷商數比率,"類別,總計(家數),未及15%(家數),15%至24%(家數),25%至39%(家數),40%至59%(家數),60%以上(家數),未及15%(百分比),15%至24%(百分比),25%至39%(百分比),40%至59%(百分比),60%以上(百分比)",公平交易委員會
對外關係文書,公平交易委員會對外關係文書,10215,公平交易委員會對外關係文書,標題;版本;簽署內容;簽署日期;簽署主體,公平交易委員會
平均每家事業傳銷商數統計,平均每家事業傳銷商數統計,9106,截至102年底平均每家事業傳銷商數之統計,"類別,平均每家傳銷商數,未滿20歲 人數,女性人數,實際參與傳銷活動人數,新加入人數,訂貨人數,領取佣獎金人數,退出人數,違約退出人數",公平交易委員會
性別平等專案小組會議紀錄,公平交易委員會性別平等專案小組會議紀錄,79368,本資料集包含本會自105年來性別平等專案小組歷年會議記錄。,會議名稱;日期;主持人;下載位置,公平交易委員會
政策文宣廣告預算執行情形,公平交易委員會政策文宣廣告預算執行情形,79377,本資料集為公平交易委員會歷年來(自101年起)政策文宣廣告執行情形,宣導內容;刊登或託播對象;刊登或播出時間;刊登或播出金額(單位：新臺幣元);備註,公平交易委員會
新加入傳銷商規模,新加入傳銷商規模,9109,截至102年底多層次傳銷事業新加入傳銷商之統計,"類別,總計(家數),未及5百人(家數),5百人至未及1千人(家數),1千人至未及1萬人(家數),1萬人至未及5萬人(家數),5萬人以上(家數),未及5百人(百分比),5百人至未及1千人(百分比),1千人至未及1萬人(百分比),1萬人至未及5萬人(百分比),5萬人以上(百分比)",公平交易委員會
本會主管法規倡議對象性別統計,公平交易委員會本會主管法規倡議對象性別統計,32394,公平交易委員會本會主管法規倡議對象性別統計(資料收集自民國97年至今),年度;本會主管法規說明會;男性參與率(%);女性參與率(%),公平交易委員會
業務檢查不合規定統計,公平交易委員會101年業務檢查不合規定統計-按原因別分,6923,本資料及主要提供多層次傳銷事業業務檢查不合規定者並依原因別分統計。,"年別,不合規定家數,不合規定原因-對參加人未盡詳實告知義務,不合規定原因-書面契約與報備文件不相符,不合規定原因-退貨辦法未符合規定,不合規定原因-主要營業場所未備置書面資料,不合規定原因-違反公平交易法規定,不合規定原因-未報備先營業,不合規定原因-報備內容變更未於實施前報備",公平交易委員會
止多層次銷事業分布,公平交易委員會101年止多層次銷事業分布,6921,本資料集主要提供多層次傳銷事業登記所在地分析統計。,"地區別,101年底家數,100年底家數",公平交易委員會
歷年前4大銷售品項營業額占多層次傳銷營業總額比率,公平交易委員會歷年前4大銷售品項營業額占多層次傳銷營業總額比率,32378,公平交易委員會歷年來前4大銷售品項營業額占多層次傳銷營業總額比率(僅列出 96-去年前 4 名銷售商品占整體營業額比率，另因數字僅計算 4 項商品之故而與查報結果有稍微差距。 103 年第 4 大之銷售品項營業額為淨、濾飲水器材。),年度;營養保健食品;美容保養品;清潔用品;其他商品,公平交易委員會
歷年國際交流統計人次(按性別分),公平交易委員會歷年國際交流統計人次(按性別分),32434,公平交易委員會統計自101年度以來參與國際交流之統計人次，並按性別分類統計人次,年度;性別;出席國際會議(委);出席國際會議(薦);出席國際會議(簡);個別技術援助活動(委);個別技術援助活動(薦);個別技術援助活動(簡);赴國外訓練(委);赴國外訓練(薦);赴國外訓練(簡),公平交易委員會
法定預算表,104年度法定預算表,12090,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-開會、派員出國計畫類別表-進修、歲出按職能及經濟性綜合分類表、委辦經費分析表,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;辦公房舍明細表,公平交易委員會
法定預算表,105年度法定預算表,26432,人事費用分析表、公務車輛明細表、各項費用彙計表、委辦經費分析表、派員出國計畫預算總表、派員出國計畫類別表-進修、派員出國計畫類別表-開會、捐祝經費分析表、歲入來源別預算表、歲入項目說明提要表、歲出用途別科目分析表、歲出按職能及經濟性綜合分類表、歲出計畫提要級分支計畫概況表、歲出機關別預算表、資本支出分析表、預算員額明細表、辦公房舍明細表,人事費用分析表;公務車輛明細表;各項費用彙計表;委辦經費分析表;派員出國計畫預算總表;派員出國計畫類別表-進修;派員出國計畫類別表-開會;捐祝經費分析表;歲入來源別預算表;歲入項目說明提要表;歲出用途別科目分析表;歲出按職能及經濟性綜合分類表;歲出計畫提要級分支計畫概況表;歲出機關別預算表;資本支出分析表;預算員額明細表;辦公房舍明細表,公平交易委員會
營業據點分布概況,營業據點分布概況,9105,截至102年底多層次傳銷事業營業據點分布情形,"類別,傳銷事業,總計(營業據點數),北部地區(營業據點數),中部地區(營業據點數),南部地區(營業據點數),東部及金馬地區(營業據點數),北部地區(百分比),中部地區(百分比),南部地區(百分比),東部及金馬地區(百分比)",公平交易委員會
申請聯合行為案件統計,申請聯合行為案件統計,7012,本資料集主要提供向本會申請聯合行為件數之統計,"年月別,申請件數,結案件數總計,結案件數-申請聯合行為許可案總計,結案件數-申請聯合行為許可案,結案件數-申請聯合行為許可案,結案件數-申請聯合行為許可案,結案件數-申請聯合行為許可案,結案件數-變更聯合行為許可事項案",公平交易委員會
第8屆第6會期經濟委員會業務報告,第8屆第6會期經濟委員會業務報告,10219,第8屆第6會期經濟委員會業務報告,第8屆第6會期經濟委員會業務報告,公平交易委員會
編制內職員考績等第性別統計,公平交易委員會編制內職員考績等第性別統計,32430,"公平交易委員會編制內職員考績等第性別統計(自96年至今)資料集內含年度,考績別,男,女",年度;考績別;男;女,公平交易委員會
至止多層次傳銷事業報備概況,公平交易委員會至101年止多層次傳銷事業報備概況,6920,多層次傳銷管理辦法，所有從事多層次傳銷事業，應於營業前向本會報備，本資料集主要提供，截至101年底報備之事業家數統計。,"年別,上年底報備家數,本年報備家數,本年撤銷家數,本年底報備家數",公平交易委員會
行政決定,公平交易委員會行政決定,24970,公平交易委員會行政決定,發文日期;類別;案由;檔案下載位置,公平交易委員會
被撤銷處分案件,公平交易委員會101年被撤銷處分案件-按涉法行為別分,6918,本資料集主要提供101年本會檢舉案之處分案及主動調查案之處分案。撤銷處分件數包括原處分撤銷及部分原處分撤銷。.撤銷處分書件數與各涉法行為別之合計不符，係因部分案件涉及二種以上行為或被撤銷處分非針對涉法行為 (例如撤銷罰鍰) 。,原處分年別;撤銷處分書件數;聯合行為;約定轉售價格行為;妨礙公平競爭行為;虛偽不實或引人錯誤廣告行為;欺罔或顯失公平行為,公平交易委員會
補(捐)助經費一覽表,公平交易委員會補(捐)助經費一覽表,79413,本資料集為公平交易委員會自105年來補捐助經費資料,時間;補(捐)助對象;所在之直轄市或縣市;補(捐)助事項;補(捐)助明細;核准核銷日期;補(捐)助金額,公平交易委員會
訂貨傳銷商比率,訂貨傳銷商比率,9111,截至102年底多層次傳銷事業傳銷商訂貨之比率,"類別,總計(家數),未及15%(家數),15%至24%(家數),25%至39%(家數),40%至59%(家數),60%以上(家數),未及15%(百分比),15%至24%(百分比),25%至39%(百分比),40%至59%(百分比),60%以上(百分比)",公平交易委員會
訂貨傳銷商規模,訂貨傳銷商規模,9110,截至102年底多層次傳銷事業訂貨傳銷商之統計,"類別,總計(家數),未及1千人(家數),1千人至未及5千人(家數),5千人至未及1萬人(家數),1萬人至未及3萬人(家數),3萬人以上(家數),未及1千人(百分比),1千人至未及5千人(百分比),5千人至未及1萬人(百分比),1萬人至未及3萬人(百分比),3萬人以上(百分比)",公平交易委員會
調查歷年傳銷商品(服務品項)營業額占多層次傳銷營業總額比率,公平交易委員會調查歷年傳銷商品(服務品項)營業額占多層次傳銷營業總額比率,32381,公平交易委員會調查於歷年年(自103年起)傳銷商品(服務品項)營業額占多層次傳銷營業總額比率,年度;其他;骨灰罐及生前契約;服務類商品;資訊產品;廚具;圖書文具與錄影音帶;寢具;衣著與飾品;淨濾飲水機;健康器材;清潔用品;美容保養品;代餐食品;營養保健食品,公平交易委員會
資料開放行動方案,公平交易委員會資料開放行動方案,31253,公平交易委員會資料開放行動策略,標題;更新日期;內容下載位置,公平交易委員會
資料開放諮詢小組會議紀錄,公平交易委員會資料開放諮詢小組會議紀錄,17183,公平交易委員會資料開放諮詢小組會議紀錄,名稱;時間;地點;主席;會議記錄位置,公平交易委員會
附屬單位預算案,106年度附屬單位預算案,36353,5年來主要業務計畫分析表、用人費用彙計表、各項費用彙計表、固定項目明細表、員工人數彙計表、基金用途明細表、基金來源用途及餘絀預計表、基金來源明細表、現金流量預計表、單位成本分析表、預計平衡表,5年來主要業務計畫分析表;用人費用彙計表;各項費用彙計表;固定項目明細表;員工人數彙計表;基金用途明細表;基金來源用途及餘絀預計表;基金來源明細表;現金流量預計表;單位成本分析表;預計平衡表,公平交易委員會
預算書,公平交易委員會105年預算書,21650,公平交易委員會105年預算書(單位預算及所屬單位預算),公平交易委員會105年預算書,公平交易委員會
預算案,公平交易委員會106年度預算案,36349,人事費用分析表、公務車輛明細表、各項費用彙計表、派員出國計畫預算總表、派員出國計畫類別表(進修、開會)、捐助經費分析表、歲入來源預算表、歲入項目說明提耀表、歲出用途科目分析表、歲出案職能及經濟性綜合分類...等,人事費用分析表;公務車輛明細表;各項費用彙計表;派員出國計畫預算總表;派員出國計畫類別表;捐助經費分析表;歲入來源預算表;歲入項目說明提耀表;歲出用途科目分析表;歲出案職能及經濟性綜合分類...,公平交易委員會
預算案,公平交易委員會107年度預算案,55672,公平交易委員會107年度預算案分單位預算及附屬單位預算,,公平交易委員會
預算案,公平交易委員會108年度預算案,90408,本資料集為公平交易委員會108年度預算案包含本會單位預算及附屬單位預算,標題;下載格式;下載位置;更新日期,公平交易委員會
預算案,公平交易委員會109年度預算案,118239,本資料集為公平交易委員會109年度預算案包含本會單位預算及附屬單位預算,標題;下載格式;下載位置;更新日期,公平交易委員會
預算案,公平交易委員會110年度預算案,129724,本資料集提供公平交易委員會109年度各項預算案(含本會單位預算及反托拉斯基金附屬預算等),標題;下載格式;下載位置;更新日期,公平交易委員會
預算表,104年度預算表,12108,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出用途別科目分析表、資本支出分析表、人事費用分析表、預算員額明細表、公務車輛明細表、辦公房舍明細表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫類別表-開會、派員出國計畫類別表-進修、歲出按職能及經濟性綜合分類表、委辦經費分析表,歲入來源別預算表;歲出機關別預算表;歲入項目說明提要表;歲出計畫提要及分支計畫概況表;各項費用彙計表;歲出用途別科目分析表;資本支出分析表;人事費用分析表;預算員額明細表;公務車輛明細表;辦公房舍明細表;捐助經費分析表;派員出國計畫預算總表;派員出國計畫類別表-開會;派員出國計畫類別表-進修;歲出按職能及經濟性綜合分類表;委辦經費分析表,公平交易委員會
領取佣金或獎金傳銷商人數規模,領取佣金或獎金傳銷商人數規模,9113,截至102年底多層次傳銷事業領取佣金或獎金傳銷商之統計,"類別,總計(家數),未及1千人(家數),1千人至未及5千人(家數),5千人至未及1萬人(家數),1萬人至未及3萬人(家數),3萬人以上(家數),未及1千人(百分比),1千人至未及5千人(百分比),5千人至未及1萬人(百分比),1萬人至未及3萬人(百分比),3萬人以上(百分比)",公平交易委員會
領取佣金或獎金傳銷商領取比率,領取佣金或獎金傳銷商領取比率,9114,截至102年底多層次傳銷事業傳銷商抽取佣金或獎金之比率,"類別,總計家數,未及15%(家數),15%至24%(家數),25%至39%(家數),40%至59%家數,60%以上家數,未及15%(百分比),15%至24%(百分比),25%至39%(百分比),40%至59%(百分比),60%以上(百分比)",公平交易委員會
