1032里防災避難地圖,['124713']
新北巿各項稅捐實徵淨額與預算數及上年同期比較-累計數,['123877']
新北巿各項稅捐本月實徵數簡報表,['124672']
新北巿各項稅捐解庫情形,['124573']
新北巿各項稅捐退還以前年度歲入款,['125176']
新北巿各項稅收快報(初步數字),['124569']
新北巿土地增值稅徵收,['125828']
新北巿地價稅徵績,['125464']
新北巿地價稅查定,['125056']
新北巿契稅查定,['124341']
新北巿娛樂稅稅源,['125542']
新北巿房屋稅徵績,['124271']
新北巿房屋稅籍,['123620']
新北巿最近土地增值稅稅源統計表,['124807']
新北巿最近房屋稅綜合統計表,['123302']
新北巿未徵數情形,['124298']
新北巿查(核)定開徵數情形,['124293']
新北巿滯納案件移送執行情形,"['125132', '125771']"
新北巿稅捐統計年報,['124881']
新北巿違章漏稅案件處理及財務罰鍰執行情形,['125480']
新北虛擬美術館&新北典藏館,['125076']
新店地政事務所新舊地號對照表,['124584']
新店地政事務所新舊建號對照表,"['124357', '124687', '125429', '125437', '125677', '126163']"
新建工程處-各年度預算書,['124500']
新措施一覽表,"['123993', '124112', '124214', '124439', '124660', '125116', '125556', '126101', '126109', '129119']"
新生兒聽力篩檢補助方案之特約醫療院所,['125817']
新聞局現有人員統計,['125487']
新聞稿,['123780']
新莊地政事務所新舊地號對照表,['125568']
新莊地政事務所新舊建號對照表,"['123738', '124055', '125571', '125658', '125906']"
施政情形書面報告,['126090']
施政計畫,['123650']
旅服中心到站人次,['125783']
旅遊摺頁文宣資料,['123851']
旅遊服務中心資訊,['125622']
旅館民宿業者,"['122915', '123093', '126422', '126426']"
易發生危險之釣魚區域,"['123274', '123599', '124021', '125107', '125389', '125503']"
易發生婦幼被害犯罪地點資料( 增加年度資料),['125645']
易發生溺水地點,['123667']
時段性管制禁止大貨車行駛路段,['123935']
晉升薦(簡)任官等訓練參訓情形,['125725']
景點遊客人次統計(不含中央所屬北觀處及東北角管理處之統計資訊),"['123799', '125466']"
暴力犯罪,['124973']
最近地價稅稅源統計表,['123916']
月子餐機構,['127937']
有機農場,"['123306', '123373', '123377', '123492', '123672', '123685', '123698', '123842', '123998', '124144', '124161', '124204', '124322', '124361', '124637', '124669', '124711', '124923', '125303', '125331', '125424', '125672', '125717', '125786', '125792', '125805', '125882', '125907', '126839']"
有線廣播電視收費標準,['123053']
有線廣播電視費率審議委員會設置要點,['125578']
有線電視名冊,['124731']
服務勞工地圖,['123100']
未變性酒精販賣業者登記資料一覽表,['124210']
本市付費廣告欄設置地點一覽表,"['123299', '123406', '123528', '123689', '123764', '123818', '123841', '123937', '123956', '124096', '124111', '124286', '124383', '124398', '124430', '124492', '124933', '125094', '125174', '125572', '125858', '125918', '125927', '126021']"
板橋地政事務所新舊地號對照表,['123801']
板橋地政事務所新舊建號對照表,"['123944', '124109', '124531']"
林口區內滯洪設施位置及用地面積,['124227']
查獲毒品案件,['123459']
查獲涉嫌違反菸酒管理法案件月報表,['123683']
核子醫學科醫療機構,['124987']
核安事故疏散規劃表,['125751']
核安第23號演習重要工作管制表,['126120']
核發建築物使用執照-使用分區別,['123612']
樂活名攤,['126138']
標準化死亡率—主要死因,['125332']
標準化死亡率—主要癌症,['124538']
樹林地政事務所新舊地號對照表,['124792']
樹林地政事務所新舊建號對照表,['125757']
樹林灰渣掩埋場滲出水處理廠水質檢測報告-原水,['125772']
樹林灰渣掩埋場滲出水處理廠水質檢測報告-地下水監測井,['124963']
機車停車彎資訊,['125781']
機車定檢站名單,['124041']
橫移門資訊,"['123312', '123403', '124121', '124285', '124551', '125401']"
檔案閱覽抄錄複製收費標準,['125552']
正在辦理中公辦市地重劃地區統計表,['124385']
正在辦理中自辦市地重劃地區統計表,['125557']
歲入實收數比較表,"['124061', '125292', '125415', '125473', '125482', '125669', '126055']"
歷年住宅補貼受理情形統計表,['122939']
歷年家暴案量統計,['123354']
歷年性侵害案量統計,['125358']
歷年重大災害一覽表,['124316']
歷年重大職災統計,['127869']
死亡人數-主要癌症,['125587']
死亡人數-各年齡別,['125782']
死亡人數—主要死因,['123975']
死亡率—主要死因,['124070']
死亡率—主要癌症,['125865']
死亡率—各年齡別,['124861']
母嬰親善醫療院所認證名單,['123291']
每年A1交通事故原因及死傷人數,['125187']
每年A1交通事故時間別,['125673']
每年A1交通事故道路類別及道路型態別,['125431']
每年A1道路交通事故車種別,['123959']
每年A2交通事故原因及死傷人數,['125260']
每年A2交通事故時間別,['124159']
每年A2交通事故道路類別及道路型態別,['124729']
每年A2道路交通事故車種別,['125453']
每月A1類道路交通事故-乘坐車種及死傷人數,['125893']
每月A1類道路交通事故-原因及傷亡,['125357']
每月A1類道路交通事故-肇事時間別,['124175']
每月A1類道路交通事故-肇事者,['123608']
每月A1類道路交通事故-車輛種類別,['125506']
每月A1類道路交通事故-道路型態別,['124924']
每月A1類道路交通事故-道路類別,['124614']
民意代表,['124156']
民眾繳納違反環保法令行政罰鍰之方式及其他相關注意事項,['123852']
民間志願服務運用單位已備案名冊,['125059']
民間自行興闢道路及附屬設施「興闢計畫書」標準作業流程,['123376']
民間興闢道路及附屬設施處理辦法,['125680']
水門資料,"['123300', '124585', '124712', '124887', '124949', '124980', '125030', '125047', '125114', '125150', '125531', '125701', '125846']"
汐止地政事務所新舊地號對照表,['123641']
汐止地政事務所新舊建號對照表,"['123820', '123831', '124641', '124998']"
污水下水道用戶接管普及率,['123054']
污水處理率,['125388']
河濱公園位置,['123705']
河濱公園園區設施,['123485']
河濱公園景觀廁所位置,['124796']
河濱公園行動餐車位置,['124154']
沿海魚類明細,['124065']
泌尿科醫療機構,['125038']
法令解釋及諮詢成果半年報,['125597']
法定傳染病—HIV感染者,['123414']
法定傳染病—HIV死亡者,['124754']
法定傳染病—確定人數,['123405']
法律諮詢服務處所暨時段,['125833']
泳池水質檢驗資料,['125004']
活動訊息,['123781']
流感疫苗接種合約醫療院所,['125584']
流感疫苗接種數及賸餘數,['125325']
消費協商不到場業者,['122952']
消費爭議第1次申訴案件群組分析,['124152']
消費者保護官室處理案件統計表,['124748']
消防安全檢查重大不合格場所公告,['125515']
消防局捐贈消防人員車輛及裝備器材芳名錄,['128356']
消防局救災救護指揮中心受理電話量,['123498']
消防局會計統計資訊,['125462']
消防局辦理國家賠償事件收結情形表,['124758']
消防據點,['123899']
消防榮譽榜-即時表揚,['125478']
消防榮譽榜-每月績優人員,['124818']
淡水地政事務所新舊地號對照表,['125547']
淡水地政事務所新舊建號對照表,['123369']
清除及處理機構基本資料(新版),['124726']
溫泉水質檢驗資料,['126039']
滅火器藥劑更換及充填作業合格廠商清冊,['123971']
滅火器藥劑更換及充填合格廠商,['125647']
漁會理事、監事及會員代表,['125652']
漁會通訊資料,['125797']
演藝團體一覽表,['123817']
火災人員死傷、財物損失,['124832']
火災次數,"['123746', '125215']"
火災次數分類及時間,['124428']
為民服務成果統計表(停止更新),['123592']
無地上層之地下建築物標準單價表(前適用),['129251']
無地上層之地下建築物標準單價表(至30日適用),['129253']
無地上層之地下建築物標準單價表(起適用),['129147']
無痛大腸鏡檢查,['123676']
無線電中繼站,['125830']
無障礙計程車營運數據,['123947']
焦點新聞,['122917']
熱水器遷移更換補助,['124940']
燃氣熱水器承裝業及技術士資料,['125301']
營建工程空污費收費櫃檯,['125084']
營造工程物價指數,['125690']
營造業工程登記,['125258']
牙醫一般科醫療機構,['125518']
物價指數(總指數),['124459']
物理治療復健機構,['124486']
特定行業、電子遊戲場業及資訊休閒業營業場所投保公共意外險清冊,['125265']
特殊教育—特教學校,['123844']
犯罪資料,['123865']
狂犬病通知單相關QA,['123455']
狂犬病預防注射簽約動物醫院,['125595']
狹小巷道列管清冊,['126164']
珍貴樹木,['125615']
現住人口之婚姻狀況,"['123951', '124442']"
現住人口之年齡分配,['124170']
現住原住民族婚姻現況,['124571']
現住原住民族年齡分配,['123322']
現住原住民族戶口數(民國以前),['123497']
現住原住民族戶口數(民國以後),['125385']
現住原住民族種族別人口數,['124239']
現住戶數、人口密度及性比例,['124723']
瑞芳地政事務所新舊地號對照表,['124565']
瑞芳地政事務所新舊建號對照表,['124922']
環保旅店,['124251']
環境及交通噪音監測站地點,['127938']
環境教育設施場所,"['123821', '123828', '123897', '124192', '124445', '124837', '125148', '125172', '125580', '125601', '125694', '125939']"
環境用藥販賣業者名單,['124495']
生育率,['124639']
產後護理之家清冊,['125794']
用電設備檢驗維護業清冊,['125543']
申辦e服務,['123052']
病媒防治業者名單,"['123435', '123711', '123874', '124191', '124232', '124279', '124434', '124601', '124671', '124869', '124957', '125045', '125146', '125340', '125484', '125605', '125608', '125750', '125789', '125851']"
發展遲緩兒童評估鑑定醫院,['123786']
皮膚科醫療機構,['125367']
眼科醫療機構,['123999']
短期補習班概況,"['124594', '125924']"
短期補習班立案資訊,['124223']
研究發展考核委員會年度施政計畫,['125700']
研究發展考核委員會年度決算資料,['123918']
研究發展考核委員會年度預算資料,['125184']
研究發展考核委員會志願服務隊實施計畫,['124026']
社區安寧服務單位,['124563']
社區安寧服務單位-地區醫院、診所,['124595']
社區安寧服務單位-安養護中心,['124638']
社區安寧服務單位-居護所,['125326']
社區安寧服務單位-核心醫院,['124060']
社區安寧服務單位-衛生所,['125743']
社區安寧服務單位-護理之家,['124105']
社區治安工作績效統計表-(新版),['125745']
社區照顧關懷據點名冊,['125573']
社區營造之社區協會,"['123310', '123331', '123593', '124302', '124456', '124555', '124625', '124667', '124743', '125062', '125232', '125281', '125371', '125655', '125675', '125819', '125855', '126047']"
社區營造經費表,['123825']
社區發展協會,"['123392', '123408', '123429', '123638', '123796', '123824', '123905', '123923', '124413', '124488', '124510', '124618', '124619', '124631', '124750', '124785', '124913', '124983', '125166', '125244', '125245', '125256', '125386', '125409', '125438', '125486', '125602', '125616', '125649', '126155']"
社會局委託辦理居家托育服務中心名冊,['125505']
社會局所轄志工,['125760']
神經外科醫療機構,['125577']
神經科醫療機構,['123389']
福利補助資訊,['122990']
禮儀服務業者查詢,['124805']
私立托嬰機構名冊,['125380']
私立社會福利慈善事業基金會名冊,['124291']
稅捐稽徵處保有個人資料檔案公開項目彙整表,['123870']
稅捐稽徵處全功能服務櫃檯服務統計表,['123009']
稅捐稽徵處常見問答集,['123084']
稅捐稽徵處服務通訊,['123103']
稅捐稽徵處歲出預決算數,['124718']
稅捐稽徵處網路申辦案件統計表,['123104']
空氣品質人工監測站位置,['127939']
空氣品質淨化區,"['123323', '123843', '124066', '124129', '124134', '124197', '124828', '125157', '125180', '125455', '125514', '125522', '125844', '125900']"
空氣品質淨區,['123412']
空氣品質資訊,['123878']
窩溝封填親善診所,['124143']
竊盜案件,['123694']
立博物館群,['124272']
立圖書館合作或相關讀書會名單,['123367']
立聯合醫院_門診進度查詢,"['127995', '127996']"
立聯合醫院門診表,['127997']
立黃金博物館太陽能發電量,['124241']
第3胎(含)以上之幼兒掛號費減免之優惠措施,['123974']
第3胎(含)以上之幼兒掛號費減免之優惠措施合作醫療院所,['125014']
管區域排水資訊,"['122893', '122925', '122945', '122946', '122953', '122962', '122964', '122975', '122980', '122991', '122996', '122997', '122998', '123006', '123015', '123035', '123059', '123121']"
精神復健機構清冊,['123432']
精神護理之家清冊,['123545']
精神醫療資源,"['124734', '126354']"
精神醫療資源-精神科醫院,['126234']
精神醫療資源-綜合醫院,['126193']
精神醫療資源-西醫專科診所,['126214']
精神醫療資源-西醫診所,['126018']
精神醫療資源-西醫醫務室,['126182']
糖尿病共照網醫事機構,['125835']
結婚情形,['123933']
結核菌素測驗服務單位,['125344']
絕育補助簽約動物醫院,['124274']
統計年報,['125696']
經濟戶長比重,['124460']
經濟部優良市集認證名單,['125920']
綠色商店,"['123317', '123368', '123508', '123591', '123619', '123915', '123968', '124046', '124165', '124351', '124418', '124556', '124621', '124653', '124707', '124820', '124870', '124921', '125106', '125223', '125224', '125511', '125533', '125537', '125576', '125588', '125632', '125759', '125788']"
緊急救護服務,['124489']
緊急醫療醫院能力分級,['124141']
總決算平衡表,"['123510', '123955', '125847', '126705']"
總決算收支簡明比較分析表,"['123553', '124865', '125864', '126707']"
總決算歲入來源別決算總表,"['124932', '125006', '125839', '126708']"
總決算歲入歲出性質及餘絀簡明分析表,"['124236', '125740', '126034', '126865']"
總決算歲入歲出簡明分析表,"['124248', '125209', '125731', '126710']"
總決算歲出決算總表,"['124427', '124626', '125551', '125733', '125869', '126117', '126712', '126713']"
總決算歲計餘絀分析表,"['124936', '124976', '125050']"
總決算累計餘絀計算表,"['124414', '124648', '124878', '126711']"
總預算基金別預算分析表,"['123506', '123565', '124324', '125448']"
總預算基金算分析表-特種基金部分,['125583']
總預算基金算分析表-特種基金部分(法定預算),['126135']
總預算基金算分析表-特種基金部分(預算案),"['123675', '125307']"
總預算收支簡明比較分析表,"['124010', '124890', '125390', '125477', '125909', '125917', '126019']"
總預算案收支簡明比較分析表,['123853']
總預算案歲入來源別預算比較總表(經資併計),['124137']
總預算案歲入來源別預算總表,['124883']
總預算案歲入歲出性質及餘絀簡明比較分析表,['123352']
總預算案歲入歲出簡明比較分析表,['125142']
總預算案歲出預算比較總表,['123706']
總預算案歲出預算比較總表(經資併計),['125676']
總預算案歲出預算總表,"['123441', '124816']"
總預算歲入來源別預算比較總表,"['123430', '123598', '124064', '124755']"
總預算歲入來源別預算比較總表(經資併計),"['123024', '124762', '125523']"
總預算歲入來源別預算總表,"['122940', '123904', '124329', '124534', '124943', '125883', '126169']"
總預算歲入歲出性質及餘絀簡明比較分析表,"['123065', '123466', '123573', '124635', '125296', '125350', '125550']"
總預算歲入歲出簡明比較分析表,"['122967', '123341', '123375', '123926', '124031', '125738', '125875']"
總預算歲出預算比較總表,"['122963', '123365', '123790', '123950', '124153', '124323', '124810', '124975', '125227', '125272', '125516']"
總預算歲出預算比較總表(經資併計),"['124380', '125154', '125229']"
總預算歲出預算總表,"['122890', '122897', '123401', '124131', '124415', '124451', '124702', '124719', '124793', '125319', '125574', '125695', '125780', '126144']"
績優社區發展協會名冊,['125218']
義勇消防總隊接受捐贈,['129146']
義消人數及火災死傷人數,['125527']
老人健康檢查醫療院所,"['123305', '123512', '123532', '123548', '123759', '123833', '123872', '123887', '123942', '123973', '123997', '124053', '124127', '124304', '124387', '124536', '124587', '124728', '124736', '124917', '125181', '125402', '125475', '125732', '125755', '125866', '125876', '125891', '125930']"
老人文康活動中心名冊,['125940']
老人照顧機構,['123857']
老人福利服務,['124372']
老人福利服務概況,['125329']
老人福利機構,['123848']
耳鼻喉科醫療機構,['126049']
職業訓練,['124219']
職業醫學學科醫療機構,['123637']
職能治療復健機構,['125936']
腦中風處置醫院,['125785']
臨床病理科醫療機構,['125795']
自殺通報人數,['125220']
自行研究獲獎報告,['123837']
自行車架,['123715']
自行車架(捷運站週邊),['125528']
自行車道建設統計資料,"['127890', '127891', '127892', '127893', '127894', '127895', '127896', '127897', '127898', '127899', '127900', '127901', '127902', '127903', '127904', '127905', '127906', '127907', '127908', '127909', '127910', '127911', '127912', '127913', '127914', '127915', '127916', '127917', '127918', '127919', '127921', '127922', '127923', '127924', '127925', '127926', '127927', '127928', '127929', '127930', '127931', '127932', '127933', '127934', '128091', '128092']"
自行車道資料,"['124095', '124374', '124767']"
自行車道資料-2重疏洪道及淡水河畔,['124072']
自行車道資料-基隆河段,['123535']
自行車道資料-大漢溪,['123309']
自行車道資料-大漢溪三峽河,['125279']
自行車道資料-橫移門,['124863']
自行車道資料-自行車租借站,['123361']
自辦市地重劃成果,"['123570', '123714', '123987', '124027', '124063', '124281', '124499', '124889', '124925', '125427', '125521', '125796', '126043', '127325', '127326']"
至歲入預決算比較表,['124645']
臺灣(含)地震災害潛勢山腳斷層圖,['123343']
航空噪音管制區劃定範圍,['124147']
菸酒製造業者資料一覽表,['123771']
藍色公路碼頭,['125214']
藝遊,['125449']
藥品連鎖販賣藥商名冊,['124794']
藥癮替代治療醫院,['124752']
號前3碼,['123563']
蛋黃酥獲獎業者一覽表,['124562']
血液透析資源,['124606']
行動應用軟體資訊,['124744']
行政園區會場資訊及收費標準,['123597']
行政大樓導覽,['123484']
行政機關公務人員人數,['124198']
行道樹資料,['125339']
街友中途之家名冊,['124234']
街友外展服務中心,['123350']
街頭藝人,"['123549', '124452', '125806']"
街頭藝人-技藝,['125135']
街頭藝人-技藝類,['124208']
街頭藝人-美術,['124705']
街頭藝人-表演藝術,['124721']
街頭藝人-音樂,['124494']
街頭藝人展演場地,['123012']
衛生局合作早期療育評估鑑定醫院,['125231']
補償費屆滿或即將屆滿未領歸屬國庫案件,['125060']
補助私有文化資產一覽表,['124680']
補校業務資訊,['123587']
補習教育,['125335']
西藥連鎖販賣商名冊,['125152']
西醫一般科醫療機構,['125932']
觀光工廠,['124798']
觀光旅遊景點,"['122908', '123075', '126410', '126424']"
觀光服務人員,['125013']
解剖病理科醫療機構,['124912']
設立心理諮商所及心理治療所,['123914']
訴願案件統計資料,['124130']
語言治療復健機構,['124306']
調解委員會組織概況統計,['124858']
警察局,['123364']
警察局 中程施政計畫,['129252']
警察局104違反社會秩序維護法件數人數,['125313']
警察局中程施政計畫(更新),['125803']
警察局公務人員,"['125090', '125718']"
警察局公有拖吊場,['125860']
警察局及其所屬預算表,"['123290', '123391', '123567', '123810', '123823', '124057', '124217', '124420', '124577', '124761', '124817', '125383', '125492', '125554', '125569', '125654', '125709', '125836', '129261']"
警察局及其所屬預算表-交通警察大隊,['123730']
警察局及其所屬預算表-保安警察大隊,['126148']
警察局及其所屬預算表-刑事警察大隊,['124757']
警察局及其所屬預算表-婦幼警察隊,['123957']
警察局及其所屬預算表-少年警察隊,['123946']
警察局及其所屬預算表-局本部,['124436']
警察局及所屬年度決算,"['123846', '124080', '124228', '124346', '124826', '125101', '125681']"
警察局及所屬歲入、出,"['123723', '123881', '124561', '125122', '125183', '125228', '125481', '126118', '128903', '128904']"
警察局受(處)理刑事案件兩性嫌疑犯人數,['124679']
警察局受(處)理刑事案件兩性被害人數,['123838']
警察局受理性騷擾事(案)件-加害人,['124009']
警察局受理性騷擾事(案)件-被害人,['124437']
警察局各類經紀案件統計表,['124704']
警察局員工總人數,['124622']
警察局執行家戶訪查發現及處理戶口(籍)案件成果,['123678']
警察局巡邏箱數量,['125662']
警察局年度決算,"['123568', '124367', '124804', '125259', '125285', '125459', '125489']"
警察局暨所屬各機關(含內、外勤單位)聯絡一覽表,['123363']
警察局查獲兩性毒品嫌疑犯人數,['125354']
警察局查獲經濟案件,['124247']
警察局查獲非法槍彈刀械,"['124030', '124339', '126129']"
警察局查獲非法槍械及彈藥數量,['124259']
警察局業務職掌,['124062']
警察局歷年組織編制暨警力員額統計,['124469']
警察局社區治安會議辦理情形統計表,['124403']
警察局違反社會秩序維護法件數人數,['124035']
警察局重要警政統計指標,['125430']
警察局重要警政統計指標(停止更新),['124552']
警察服務據點,['124567']
警用車輛油料月報表(局本部用油總量、總價),['124006']
財政局主導辦理都市更新案一覽月報表,['123616']
財政局經管可提供短期出租市有非公用土地清冊,['124377']
財政局經管市有非公用不動產標售清冊(自起),['126255']
財政局經管市有非公用不動產標租清冊(自起),['125656']
財政局經管市有非公用閒置土地清冊,['125753']
財政局經管市有非公用閒置建物清冊,['125599']
財產量值,['124249']
賞魚、蝶、螢之資訊,['123013']
起火建築物,['124867']
路口監視器(109新版),"['123293', '123319', '123394', '123440', '123494', '123544', '123600', '123628', '123656', '123761', '123910', '123949', '124015', '124032', '124113', '124240', '124336', '124350', '124471', '124472', '124548', '124608', '124703', '124756', '124783', '124803', '124854', '124967', '124986', '125067', '125217', '125341', '125343', '125405', '125444', '125536', '125548', '125712', '125887', '126046', '126134', '126149', '126154']"
路外公共停車場資訊,['122955']
路燈資料v2,['123962']
路邊停車場身心障礙停車格,"['123356', '123552', '123666', '123748', '123907', '124410', '124527', '124572', '124630', '124733', '124747', '124830', '124908', '124914', '125246', '125368', '125559', '125754', '125848']"
路邊停車空位查詢,['122901']
路邊收費停管場,['124992']
路邊收費停車場停車欠費查詢,['123030']
路邊收費停車場收費路段資訊,"['123342', '123374', '123379', '123385', '123754', '123808', '123911', '124058', '124193', '124605', '124737', '124776', '124812', '124951', '124960', '125021', '125041', '125112', '125211', '125239', '125579', '125640', '126044']"
身心障礙,['124071']
身心障礙人員進用統計表,['125517']
身心障礙人數,"['123520', '125360']"
身心障礙口腔照護特約機構補助,['126159']
身心障礙福利,['125555']
身心障礙福利服務概況,['125087']
身心障礙福利機構,['125081']
身心障礙者家庭資源中心名冊,['124662']
身心障礙者日間作業設施服務單位名冊,['123863']
身心障礙者日間照顧服務中心名冊,['123344']
身心障礙者社區日間照顧服務中心名冊,['124186']
身心障礙者臨時及短期照顧服務單位,['125837']
車輛偵測器動態資訊,['127739']
車輛偵測器靜態資訊,['127738']
車輛行車事故鑑定分類統計,['123407']
車輛行車事故鑑定覆議情形,['124034']
轄內固定污染源空氣污染物監測數據-即時,['123109']
轄內固定污染源空氣污染物監測數據-日報,['122993']
轄內橋梁基本資料,"['123454', '123457', '123778', '123795', '124075', '124135', '124148', '124218', '124254', '124269', '124405', '124465', '124749', '124768', '124790', '124857', '124880', '125035', '125186', '125280', '125351', '125355', '125417', '125513', '125609', '125630', '125665', '125801', '125923']"
轄內設置空氣污染物監測設施之固定污染源,['123721']
辦理地籍清理土地及建物代為標售價金保管款清冊,['125471']
辦理急難救助概況,"['125287', '125902']"
辦理演藝活動補助作業要點,['124722']
辦理社會救助醫療補助概況,['124122']
農會理事、監事及會員代表—上級農會,['123875']
農會理事、監事及會員代表—基層農會,['125768']
農會通訊資料,['123393']
農產品產期表,['123797']
迄今各年度累進起點地價,['124698']
近契稅綜合統計表,['126024']
近市有財產產總目錄,['123928']
近期活動,['123038']
逆境力援傷痛重生-6278仙樂園粉塵暴燃救災與重建之路,['124098']
遊民人數及處理情形,['124054']
道路交通安全,['125375']
道路交通安全督導會報會議紀錄,['125145']
道路挖掘資訊,['122989']
違反廢棄物清理法案件檢舉系統,['125299']
違法雇主資料_勞動基準法,['123116']
違法雇主資料_性別工作平等法,['123099']
違法雇主資料_職業安全衛生法,['123036']
違規停車自動偵測系統設置地點,['124139']
遭受災害救助情形,['123758']
避難收容處所一覽表,['125800']
避難收容處所優先排序自主檢核表,"['123452', '129854', '129855', '129856', '129857', '129858', '129859', '129860', '129861', '129862', '129863', '129864', '129865', '129866', '129867', '129868', '129869', '129870', '129871', '129872', '129873', '129874', '129875', '129876', '129877', '129878', '129879', '129880', '129881', '129882']"
都市及區域發展指標,['122895']
都市更新及爭議處理審議會名單(最新),['123118']
都市更新核定成果(最新),['122883']
都市更新條例及相關法令彙編,['123048']
都市更新處劃定都市更新地區,['122970']
都市更新處市訂法規,['123005']
都市更新處簡易都更,['124001']
都市更新處都市更新契約注意事項,['123073']
都市計畫委員會委員名單,['122929']
都市計畫容積移轉申請案件資料統計,['125660']
都市設計及土地使用開發許可審議會委員名單,['122956']
配合簽定供氣契約瓦斯行清冊,['124965']
醫療器材連鎖販賣藥商名冊,['124102']
醫療服務,['124194']
醫療補助計畫,['123717']
醫療補助計畫合約醫療院所名單,['124673']
醫療輔具補助,['124899']
醫院地址清單,['125639']
里守望相助隊人數,"['123626', '123680', '123840', '123885', '124164', '128854', '128855', '128856', '128858', '128859', '128860', '128861', '128862', '128863', '128864', '128865', '128866', '128868', '128869', '128870', '128871', '128872', '128873', '128874', '128875', '128876', '128877', '128878', '128879', '128880', '128881', '128882', '128883', '128884']"
里長資訊,"['123413', '123453', '123465', '123518', '123531', '123712', '123775', '123803', '123922', '123943', '124088', '124094', '124155', '124311', '124337', '124447', '124517', '124988', '125053', '125204', '125318', '125337', '125441', '125561', '125744', '125773', '125861', '126031', '126130', '126881']"
重大建設計畫一覽表,['124961']
重要地標資訊,['123027']
銀髮俱樂部,"['123327', '123476', '123583', '123836', '123839', '123880', '123883', '123961', '123980', '124044', '124069', '124444', '124480', '124643', '124664', '124759', '124772', '124786', '124905', '124947', '124985', '125160', '125374', '125440', '125532', '125564', '125659', '125689', '125813', '125928']"
長期照顧服務-機構喘息服務,['123991']
長照特約單位,['124999']
長者免費健檢,['125153']
長者肺炎鏈球菌疫苗接種合約醫療院所,['125163']
門診戒菸合約醫療院所,['124244']
開發工業區及都市計畫工業區,['124309']
防毒保衛站,['125302']
防火管理執行情形,['125682']
防火管理法規,['125763']
防空警報臺數量,['123438']
防空避難設備數量及容量,['123701']
附屬單位預算作業基金收支餘絀綜計表,"['122884', '123133', '124100', '124292', '125241', '125613', '125892', '126885']"
附屬單位預算作業基金收支餘絀綜計表(預算案),"['123330', '124000', '124190', '124226', '124347', '124971', '125210', '125546']"
附屬單位預算作業基金現金流量綜計表,"['123081', '123332', '123590', '123940', '124310', '124701', '125143', '125562']"
附屬單位預算作業基金現金流量綜計表(預算案),"['123647', '123988', '124458', '124833', '125052', '125458', '125881', '126029']"
附屬單位預算作業基金餘絀撥補綜計表,"['124485', '124760', '125051', '125298', '125434', '125474', '125524', '125926']"
附屬單位預算作業基金餘絀撥補綜計表(預算案,['125189']
附屬單位預算作業基金餘絀撥補綜計表(預算案),"['123383', '123688', '123832', '124586', '124766', '125202', '125874']"
附屬單位預算營業基金固定資產建設改良擴充資金來源綜計表,"['124005', '124853', '124874', '125311', '125670', '125894', '126103']"
附屬單位預算營業基金固定資產建設改良擴充資金來源綜計表(預算案),['124296']
附屬單位預算營業基金損益綜計表,"['122960', '123000', '123031', '123460', '123784', '124644', '124691', '125370', '125377', '125868', '125872', '125919', '126012', '126852']"
附屬單位預算營業基金損益綜計表(依分列)(預算案),['124320']
附屬單位預算營業基金損益綜計表(預算案),['123443']
附屬單位預算營業基金現金流量綜計表,"['123007', '123077', '123360', '123366', '123514', '123807', '124603', '124746', '124846', '125282', '125381', '125684', '125804', '126358']"
附屬單位預算營業基金現金流量綜計表(依分列)(預算案),['123542']
附屬單位預算營業基金現金流量綜計表(預算案),['124002']
附屬單位預算營業基金盈虧撥補綜計表,"['122966', '123326', '123335', '123381', '123606', '123617', '123699', '124123', '124199', '124400', '124745', '125128', '125257', '125714']"
附屬單位預算營業基金盈虧撥補綜計表(依分列)(預算案),['124203']
附屬單位預算營業基金盈虧撥補綜計表(預算案),['123643']
附屬單位預算營業基金財務摘要綜計表,"['123049', '123649', '123654', '125288', '125366', '125391', '126309']"
附屬單位預算營業基金財務摘要綜計表(預算案),['124362']
附屬單位預算營業基金資本增減綜計表,"['123981', '124182', '125362']"
附屬單位預算營業基金資本增減綜計表(預算案),['124930']
附屬單位預算特別收入基金來源、用途及餘絀綜計表,"['123090', '123713', '124257', '124953', '125039', '125811']"
附屬單位預算特別收入基金來源、用途及餘絀綜計表(預算案),"['123787', '125507']"
附屬單位預算特別收入基金現金流量綜計表,"['123034', '123125', '123660', '123938', '124016', '124036', '124068', '124834', '124859', '124891', '125567']"
附屬單位預算特別收入基金現金流量綜計表(預算案),"['123633', '124073', '125190', '125316']"
附屬單位預算特別收入基金現金流量綜計表法定,['124789']
附屬單位預算資本計畫基金來源、用途及餘絀綜計表,"['124503', '124770', '125075', '125642', '125798', '126853']"
附屬單位預算資本計畫基金來源、用途及餘絀綜計表(預算案),"['124101', '125470']"
附屬單位預算資本計畫基金現金流量綜計表,"['123450', '123586', '123624', '123917', '123954', '124700', '124801', '124952', '125089', '125857', '126127']"
附屬單位預算資本計畫基金現金流量綜計表 (預算案),['125216']
附屬單位預算資本計畫基金現金流量綜計表(預算案),"['123718', '123931', '126041']"
附屬單位預算資本計畫基金現金流量綜計表法定,['123511']
陸閘資訊,['125124']
離婚情形,['123481']
雲端書櫃-政府數位出版品,['122958']
