2十9大類股營收變化統計表,['25038']
境外基金基金總覽-股票型基金,['45071']
境外基金基金總覽-貨幣市場型,['58214']
境外基金報價日及營業日查詢,['20621']
境外基金市場資訊-基金類別,['20625']
境外基金市場資訊-彙總,['20623']
境外基金市場資訊-投資區域別,['20626']
境外基金市場資訊-計價幣別,['20624']
境外基金投資人服務及保護-公平價格調整機制,['37825']
境外基金投資人服務及保護-反稀釋機制,['58211']
境外基金機構基本資料,['11640']
境外基金淨值,['11641']
境外基金短線交易與反稀釋等相關資訊,['20630']
境外基金總代理資訊,['11638']
境外基金資訊傳輸暨款項收付平台使用機構查詢,['20627']
境外基金資訊傳輸暨款項收付平台全國性繳費稅金融機構查詢,['20629']
境外基金資訊傳輸暨款項收付平台款項收付銀行查詢,['20628']
境外基金配息資訊,['11642']
境外基金銷售機構查詢,['20622']
境外結構型商品公告訊息,['20728']
境外結構型商品參考價格查詢,['11647']
境外結構型商品參考價格查詢(已到期),['30830']
境外結構型商品受託或銷售機構查詢,['11646']
境外結構型商品受託或銷售金額每月累計統計表,['20620']
境外結構型商品受託或銷售金額每月累計統計表(人民幣),['45074']
境外結構型商品受託或銷售金額每月累計統計表(加幣),['45073']
境外結構型商品受託或銷售金額每月累計統計表(南非幣),['45081']
境外結構型商品受託或銷售金額每月累計統計表(日圓),['45078']
境外結構型商品受託或銷售金額每月累計統計表(歐元),['45075']
境外結構型商品受託或銷售金額每月累計統計表(港幣),['45077']
境外結構型商品受託或銷售金額每月累計統計表(澳幣),['45072']
境外結構型商品受託或銷售金額每月累計統計表(紐西蘭幣),['45079']
境外結構型商品受託或銷售金額每月累計統計表(美元),['45080']
境外結構型商品受託或銷售金額每月累計統計表(英鎊),['45076']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-信用事件),['30832']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-其他利益),['30833']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-利率),['30834']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-匯率),['30835']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-商品),['30836']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-指數),['30837']
境外結構型商品受託或銷售金額每月累計統計表(連結標的-股權),['30838']
境外結構型商品商品總覽,['11644']
境外結構型商品商品總覽(已到期),['30829']
境外結構型商品機構基本資料查詢,['11645']
境外結構型商品發行人/總代理人資訊,['11643']
境外結構型商品配息資訊查詢,['11648']
境外結構型商品配息資訊查詢(已到期),['30831']
壽險業保單分紅(中華民國人壽保險商業同業公會),['15300']
壽險業務概況,['7194']
壽險業總資產統計,['27947']
壽險業績統計(中華民國人壽保險商業同業公會),['14539']
壽險業近年給付狀況,['27946']
壽險財務業務指標,['7191']
外匯業務共通性費用資訊,['11715']
外國公司向證交所申請第1上市之公司,['11540']
外國持卡人以信用卡支付6大產業類別消費之金額及筆數,['33457']
外國持卡人以信用卡於6都支付各產業類別詐欺交易型態,['98234']
外國持卡人以信用卡於十6縣支付各產業類別詐欺交易型態,['98235']
外國持卡人以信用卡於我國境內支付各產業類別詐欺交易型態,['98233']
外國持卡人於6都十6縣以信用卡支付網路購物(EC)之金額及筆數,['33473']
外國持卡人於6都十6縣以信用卡消費之金額及筆數,['33458']
外國金融債發行資料下載,['11403']
外國銀行OBU一覽表,['20396']
外國銀行在臺代表人辦事處一覽表,['20399']
外國銀行在臺分行(含OBU)資產負債簡表,['28782']
外國銀行在臺分行一覽表,['20397']
外國銀行在臺分行排名表,['20391']
外國銀行在臺設立分行及代表人辦事處地區別、國家別統計,['45207']
外國銀行逾放等財務資料揭露_NEW,['119731']
外資投入我國股市概況表_NEW,['104007']
外資投資國內金融機構一覽表,['10695']
外資持有股票占總市值比重,['129360']
外資持有股票占總市值比重(年報),['130047']
大事紀要資訊(財團法人汽車交通事故特別補償基金),['11526']
大陸地區銀行在臺代表人辦事處一覽表,['20400']
大陸地區銀行在臺分行一覽表,['20398']
大陸地區銀行在臺分行資產負債簡表,['28783']
委託書徵求資料,['111322']
存款保險問答集,['11185']
存款保險費基數查核缺失態樣,['11979']
存款業務共通性費用資訊,['11718']
安定基金小百科(財團法人保險安定基金),['47336']
安定基金計提標準相關填報表格下載(財團法人保險安定基金),['47337']
宣導DM資訊(財團法人汽車交通事故特別補償基金),['17462']
宣導資料及影音下載 (財團法人住宅地震保險基金),['13551']
富櫃5十指數歷史收盤指數,['11392']
專業技師講習會下載 (財團法人住宅地震保險基金),['13550']
專營期貨商每股淨值明細表,['22658']
專營期貨商每股稅前盈餘統計表,['24226']
專營期貨商稅前損益排序表,['24227']
專營期貨商稅前累計損益彙總表,['24228']
專營期貨商稅前累計損益明細表,['24229']
已決補償案件分析(財團法人汽車交通事故特別補償基金),['11523']
市場參與者統計,['24231']
帳簿劃撥配發新股統計表,['11637']
常見問題Q&A (財團法人住宅地震保險基金),['11442']
常見問題Q&A(財團法人汽車交通事故特別補償基金),['14519']
平均每1會計師事務所全年執行業務件數,['33105']
年報 (財團法人住宅地震保險基金),['13547']
店頭市場債券營業金額/成交金額統計表_NEW,['104023']
店頭市場成交金額投資人類別比例表 _NEW,['104033']
店頭市場投資法人交易概況表_NEW,['104037']
店頭市場股票交易概況表_NEW,['104004']
店頭市場證券總成交值概況表_NEW,['103997']
強制汽機車責任保險統計表(年報)_NEW,['104134']
微型保險有效契約統計,['27944']
微型保險累計承保業務統計,['27945']
微型保險累計被保險人按區域別統計,['113831']
微型保險累計被保險人按性別、投保年齡統計,['113829']
微型保險累計被保險人按性別、身分別統計,['113830']
性別平等開放資料集,['122257']
我國期貨市場新開戶數及交易量男女占比,['113843']
承銷商輔導評估募資申報案件經停止申報生效或退件情形統計表,['72741']
投信之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率,['15770']
投信公司基本資料,['44656']
投信投顧信託業經營全權委託投資業務彙整表,['72740']
投信投顧公會全權委託投資型保單有效契約金額,['42523']
投信投顧公會境內基金ISIN Code、短線交易限制天數、基金月報網址,['21404']
投信投顧公會境內基金各銷售通路分類,['21399']
投信投顧公會境內基金各項費用資料,['46443']
投信投顧公會境內基金基本資料,['43476']
投資人交易ETF股票性別分析,['31775']
投資人保護中心賠償款分配尚未領取案件彙總表,['11776']
投資人保護中心進行中團體訴訟案件(英文版),['11775']
投資人性別平等報告_上市統計資料,['113844']
投資人性別平等報告_上櫃統計資料,['113845']
投資理財節目異常推介個股,['11660']
投顧之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率,['15771']
投顧公司基本資料,['44657']
指數股票型ETF基金發行概況表,['129347']
收入狀況 (財團法人住宅地震保險基金),['11428']
放款業務共通性費用資訊,['11716']
政令宣導(財團法人汽車交通事故特別補償基金),['11530']
教育宣導資訊(財團法人汽車交通事故特別補償基金),['11519']
新登錄人身保險業務員年齡別統計(中華民國人壽保險商業同業公會),['15297']
新登錄保險業務員 -公司別(車險、財產)分析表,['14522']
新登錄保險業務員 -年齡別(車險、財產)分析表,['14523']
新登錄保險業務員依性別、汽車、財產分析表,['30088']
新登錄汽車、財產保險業務員教育程度別分析表,['30089']
新聞稿(財團法人保險事業發展中心),['14514']
新聞資訊 > 證交所新聞,['11546']
於登錄創櫃板前辦理籌資資訊,['44115']
普通債發行資料下載,['11405']
暨所屬機關(構)依申請提供資料清單,['91802']
最後結算價-利率類,['30853']
最後結算價-匯率類,['31753']
最後結算價-商品類,['30854']
最後結算價-期貨商品,['22653']
最後結算價-股價指數期貨類,['28824']
最後結算價-股價指數選擇權類,['28825']
最後結算價-股票期貨,['27881']
最後結算價-股票選擇權,['27882']
最後結算價-選擇權商品,['22654']
最新消息 (財團法人住宅地震保險基金),['13542']
最新訊息(中華民國保險經紀人公會),['15302']
最近上市公司,['11542']
最近個人人壽保險平均每件保費收入,['24607']
最近個人人壽保險新契約平均保額,['24608']
最近個人人壽保險有效契約平均保額,['24609']
最近壽險業來源別總保費收入,['24330']
最近壽險業個人人壽保險新契約件數、保額—公司別,['31714']
最近壽險業個人人壽保險有效契約件數、保額—公司別,['31721']
最近壽險業個人人壽保險總保費收入-公司別,['39581']
最近壽險業個人健康保險新契約件數、保額—公司別,['31716']
最近壽險業個人健康保險有效契約件數、保額—公司別,['31723']
最近壽險業個人健康保險總保費收入-公司別,['39583']
最近壽險業個人傷害保險新契約件數、保額—公司別,['31715']
最近壽險業個人傷害保險有效契約件數、保額—公司別,['31722']
最近壽險業個人傷害保險總保費收入-公司別,['39582']
最近壽險業個人年金保險新契約件數、保額—公司別,['31717']
最近壽險業個人年金保險有效契約件數、保額-公司別,['39567']
最近壽險業個人年金保險總保費收入-公司別,['39580']
最近壽險業個人險保險給付件數,['24331']
最近壽險業個人險保險給付金額,['24332']
最近壽險業個人險新契約件數,['22382']
最近壽險業個人險新契約保額,['22384']
最近壽險業個人險有效契約件數,['22386']
最近壽險業個人險有效契約保額,['22388']
最近壽險業個人險總保費收入,['24345']
最近壽險業分支機構家數,['24593']
最近壽險業團體人壽保險新契約人數、保額—公司別,['31718']
最近壽險業團體人壽保險有效契約件數、保額-公司別,['39577']
最近壽險業團體健康保險新契約人數、保額—公司別,['31720']
最近壽險業團體健康保險有效契約件數、保額-公司別,['39579']
最近壽險業團體傷害保險新契約人數、保額—公司別,['31719']
最近壽險業團體傷害保險有效契約件數、保額-公司別,['39578']
最近壽險業團體險保險給付人數,['24334']
最近壽險業團體險保險給付金額,['24335']
最近壽險業團體險新契約人數,['22383']
最近壽險業團體險新契約保額,['22385']
最近壽險業團體險有效契約人數,['22387']
最近壽險業團體險有效契約保額,['22389']
最近壽險業團體險總保費收入,['24336']
最近壽險業綜合損益表,['24605']
最近壽險業總保費收入(初年度、續年度保費),['24337']
最近壽險業資產負債表,['24606']
最近投資型商品初年度保費收入,['24610']
最近投資型商品新契約件數,['24342']
最近投資型商品新契約危險保額(保單面額),['24338']
最近投資型商品有效契約件數,['24341']
最近投資型商品有效契約保單帳戶價值,['24340']
最近投資型商品給付件數,['24611']
最近投資型商品給付金額,['24612']
最近投資型商品總保費收入,['24613']
最近產險任意汽車保險簽單保費收入統計-按公司,['24594']
最近產險任意汽車保險賠款率統計— (曆年制)—按公司,['31724']
最近產險健康保險簽單保費收入統計-按公司,['24595']
最近產險健康保險賠款率統計— (曆年制)—按公司,['31733']
最近產險傷害保險簽單保費收入統計-按公司,['24596']
最近產險傷害保險賠款率統計— (曆年制)—按公司,['31732']
最近產險市場任意汽車保險保費收入統計-普通重型機器腳踏車,['39568']
最近產險市場任意汽車保險保費收入統計-營業大客車,['39576']
最近產險市場任意汽車保險保費收入統計-營業小客車,['39574']
最近產險市場任意汽車保險保費收入統計-營業小貨車,['39575']
最近產險市場任意汽車保險保費收入統計-自用大客車,['39572']
最近產險市場任意汽車保險保費收入統計-自用大貨車,['39573']
最近產險市場任意汽車保險保費收入統計-自用小客車,['39570']
最近產險市場任意汽車保險保費收入統計-自用小貨車,['39571']
最近產險市場任意汽車保險保費收入統計-輕型機器腳踏車,['39569']
最近產險市場任意汽車保險總保費收入統計,['24614']
最近產險市場任意汽車保險賠款率統計-(曆年制),['24317']
最近產險市場健康保險總保費收入統計,['24615']
最近產險市場健康保險賠款率統計-(曆年制),['24318']
最近產險市場傷害保險總保費收入統計,['24616']
最近產險市場傷害保險賠款率統計-(曆年制),['24319']
最近產險市場強制汽車保險總保費收入統計,['24617']
最近產險市場強制汽車保險賠款率統計-(曆年制),['24320']
最近產險市場意外保險總保費收入統計,['24618']
最近產險市場意外保險賠款率統計-(曆年制),['24321']
最近產險市場漁船保險總保費收入統計,['24619']
最近產險市場漁船保險賠款率統計-(承保年度制),['24324']
最近產險市場火災保險總保費收入統計,['24620']
最近產險市場火災保險賠款率統計-(意外事故年度制),['24325']
最近產險市場航空保險總保費收入統計,['24621']
最近產險市場航空保險賠款率統計-(承保年度制),['24327']
最近產險市場船體保險總保費收入統計,['24622']
最近產險市場船體保險賠款率統計-(承保年度制),['24328']
最近產險市場貨物運輸保險總保費收入統計,['24592']
最近產險市場貨物運輸保險賠款率統計-(承保年度制),['24329']
最近產險強制汽車保險簽單保費收入統計-按公司,['24598']
最近產險強制汽車保險賠款率統計— (曆年制)—按公司,['31725']
最近產險意外保險簽單保費收入統計-按公司,['24599']
最近產險意外保險賠款率統計— (曆年制)—按公司,['31731']
最近產險漁船保險簽單保費收入統計-按公司,['24600']
最近產險漁船保險賠款率統計— (承保年度制)—按公司,['31728']
最近產險火災保險簽單保費收入統計-按公司,['24601']
最近產險火災保險賠款率統計— (意外事故年度制)—按公司,['31726']
最近產險航空保險簽單保費收入統計-按公司,['24602']
最近產險航空保險賠款率統計— (承保年度制)—按公司,['31730']
最近產險船體保險簽單保費收入統計-按公司,['24603']
最近產險船體保險賠款率統計— (承保年度制)—按公司,['31729']
最近產險貨物運輸保險簽單保費收入統計-按公司,['24604']
最近產險貨物運輸保險賠款率統計— (承保年度制)—按公司,['31727']
會員名冊(中華民國保險經紀人公會),['15305']
會員名錄(中華民國保險代理人商業同業公會),['15326']
會員機構辦理債權催收作業委外業務通過評量而續予委託之催收機構名單暨銀行受理客戶申訴窗口及專線電話調查表,['73192']
會員機構辦理房屋貸款及車輛貸款委外行銷業務通過評量而續予委託之受委託機構名單暨銀行窗口及專線電話調查表,['73191']
會計師事務所全年執行業務件數,['33106']
會計師事務所全年支出,['11068']
會計師事務所全年收入,['11067']
會計師事務所家數,"['11061', '11064']"
會計師事務所從業人數,['11065']
會計師事務所從業員工薪資所得,['33100']
會計師事務所經營概況,['33099']
會計師查核財務報告常見缺失彙總表,['10550']
會計月報,"['19597', '94880', '100862']"
有價證券保證金之可抵繳標的-公債,['11351']
有價證券保證金之可抵繳標的增刪紀錄(股票類含ETF),['45106']
有價證券帳簿劃撥配發 / 交付日期一覽表,['11454']
有價證券董事收購相關資訊,['37826']
有價證券轉(交)換/認股價格變更資料查詢,['37827']
有價證券集中交易市場開(休)市日期,['11761']
有價證券集中保管個別股票異動月分析表-上市證券,['20603']
有價證券集中保管個別股票異動月分析表-上櫃證券,['20604']
有價證券集中保管個別股票異動月分析表-興櫃證券,['20605']
期交所期貨暨選擇權商品相關費用表,['11343']
期信事業資訊,['20631']
期信基金公告訊息查詢,['20632']
期信基金募集統計,['20636']
期信基金對特定人募集之基金統計表,['20641']
期信基金機構資訊統計,['20635']
期信基金銷售統計,['20637']
期信基金非營業日查詢,['20634']
期貨保證金一覽表-股價指數類,['11604']
期貨保證金一覽表-股票類,['11605']
期貨保證金一覽表-股票類(ETF),['11606']
期貨信託事業申請募集期信基金案件,['30876']
期貨信託基金基本資料,['11650']
期貨信託基金投資概況,['11653']
期貨信託基金投資概況-投資標的,['20638']
期貨信託基金淨值,['11652']
期貨信託基金發行概況表-依基金投資標的分類_NEW,['104018']
期貨信託基金總覽,['11649']
期貨信託基金銷售機構資訊,['11651']
期貨信託契約,['20633']
期貨各類交易人各商品交易量統計表,['24230']
期貨商之資產總額、資本、淨值、損益、資產報酬率及淨值報酬率之比較表(單位:億元),['15772']
期貨商交易量年報表-期貨,['11359']
期貨商交易量年報表-選擇權,['11363']
期貨商交易量日報表-期貨,['11356']
期貨商交易量日報表-選擇權,['11360']
期貨商交易量月報表-期貨,['11358']
期貨商交易量月報表-選擇權,['11362']
期貨商交易量週到期選擇權日報表,['20665']
期貨商交易量週報表-期貨,['11357']
期貨商交易量週報表-選擇權,['11361']
期貨商分公司名冊,['17481']
期貨商及交易人概況統計表_NEW,['103936']
期貨商品最後結算價,['11603']
期貨商品造市者清單,['20672']
期貨商每股淨值明細表,['11354']
期貨商稅前累計損益明細表,['11355']
期貨商總公司名冊,['17480']
期貨大額交易人未沖銷部位資料,['11337']
期貨市場3大法人-區分各期貨契約-依日期,['11596']
期貨市場3大法人-區分各期貨契約-依週別,['11597']
期貨市場3大法人-區分各選擇權契約-依日期,['11598']
期貨市場3大法人-區分各選擇權契約-依週別,['11599']
期貨市場3大法人-區分期貨與選擇權2類-依日期,['11594']
期貨市場3大法人-區分期貨與選擇權2類-依週別,['11595']
期貨市場3大法人-總表-依日期,['11592']
期貨市場3大法人-總表-依週別,['11593']
期貨市場3大法人-選擇權買賣權分計-依日期,['11600']
期貨市場3大法人-選擇權買賣權分計-依週別,['11601']
期貨市場交易人性別分析,['31776']
期貨市場有價證券保證金之可抵繳標的-公債,['11607']
期貨市場有價證券保證金之可抵繳標的-國際債,['11608']
期貨市場有價證券保證金之可抵繳標的-股票(含ETF),['11609']
期貨市場鉅額交易各商品成交資訊,['11591']
期貨市場鉅額交易議價申報成交,['11590']
期貨業各項業務常見缺失彙整表,['10556']
期貨業家數,['124696']
期貨業從業員工人數,['11110']
期貨業營業收支,['11135']
期貨每日交易行情,['11319']
未決補償案件分析(財團法人汽車交通事故特別補償基金),['11524']
本國興櫃公司EPS排名,['32441']
本國金控集團國內及海外暴險統計表,['21854']
本國金融機構赴大陸投資融資租賃公司情形表,['21855']
本國銀行OBU一覽表,['20395']
本國銀行創意產業放款情形表,['17329']
本國銀行國外分支機構一覽表,['20394']
本國銀行在國外設立分行及分支機構地區別、國家別統計,['45206']
本國銀行在大陸地區現況統計表,['11019']
本國銀行對中小企業放款餘額統計資料,['10512']
本國銀行對大陸地區之授信、投資及資金拆存總額度_NEW,['119733']
本國銀行微型創意產業放款情形表,['17330']
本國銀行排名表,['20390']
本國銀行放款品質分類統計表_NEW,['119811']
本國銀行資產負債簡表,['28781']
本國銀行轉銷呆帳金額彙總表_NEW,['119732']
本國銀行逾放等財務資料,['10525']
本國銀行體系資本適足率,['22766']
本會及所屬局人事統計表,['113824']
本會會員機構辦理信用卡委外行銷業務通過評量而續予委託之受託機構名單,['73193']
業務及財務概況 (財團法人住宅地震保險基金),['13544']
業務宣導活動彙總表 (財團法人住宅地震保險基金),['11433']
業務宣導活動明細表 (財團法人住宅地震保險基金),['11434']
檢查局單位決算,['10410']
檢查局單位預算,['10388']
檢查局採購契約目錄,['10319']
檢查局會計月報,"['18877', '78188', '78229', '78234', '99624', '120143']"
櫃買「勞工就業88指數」歷史收盤指數,['20230']
櫃買「勞工就業88指數」當日成分股,['20228']
櫃買「勞工就業88指數」當日收盤指數,['20229']
櫃買「富櫃5十指數」當日成分股,['20220']
櫃買「富櫃5十指數」當日收盤指數,['20221']
櫃買「薪酬指數」歷史收盤指數,['20226']
櫃買「薪酬指數」當日成分股,['20224']
櫃買「薪酬指數」當日收盤指數,['20225']
櫃買「高殖利率指數」當日成分股,['20222']
櫃買「高殖利率指數」當日收盤指數,['20223']
櫃買市場認購(售)權證發行概況統計表,['129345']
櫃買市場證券總成交值概況表,['129355']
櫃買指數成分股,['20216']
櫃買指數歷史資料,['11391']
櫃買指數與報酬指數之收市指數,['20219']
次級市場-ABCP,['11465']
歷屆總經理(住宅地震保險基金),['47335']
歷屆總經理(財團法人汽車交通事故特別補償基金),['11533']
歷屆董事長(住宅地震保險基金),['47334']
歷屆董事長(財團法人汽車交通事故特別補償基金),['11532']
歷年業務暨人壽保險及年金保險投保率與普及率(中華民國人壽保險商業同業公會),['15295']
歸入權未結案件重大金額明細表,['11778']
歸入權案件進行概況,['11777']
每1會計師事務所全年平均收入,['33104']
每年個股期貨交易量統計表(區分股票與ETF),['55023']
每日個股期貨交易量統計表(區分股票與ETF),['55021']
每日個股選擇權未平倉量增減(區分股票與ETF),['45747']
每日商品類選擇權未平倉量增減,['46579']
每日外幣參考匯率,['11339']
每日期貨價差委託成交概況表,['20669']
每日期貨價差每筆成交資料,['20670']
每日期貨每筆成交資料,['20668']
每日權證交易人數(上櫃),['25052']
每日股價指數類選擇權未平倉量增減,['45746']
每日股票期貨交易量前十大統計表,['43449']
每日選擇權每筆成交資料,['20671']
每月個股期貨交易量統計表(區分股票與ETF),['55022']
每月市場電子式交易下單統計(網路與DMA下單),['43448']
民眾於南投縣以信用卡支付網路購物(EC)之金額及筆數,['25388']
民眾於南投縣以信用卡消費之金額及筆數,['25378']
民眾於嘉義市以信用卡支付網路購物(EC)之金額及筆數,['25389']
民眾於嘉義市以信用卡消費之金額及筆數,['25373']
民眾於嘉義縣以信用卡支付網路購物(EC)之金額及筆數,['25390']
民眾於嘉義縣以信用卡消費之金額及筆數,['25380']
民眾於基隆市以信用卡支付網路購物(EC)之金額及筆數,['25391']
民眾於基隆市以信用卡消費之金額及筆數,['25371']
民眾於宜蘭縣以信用卡支付網路購物(EC)之金額及筆數,['25392']
民眾於宜蘭縣以信用卡消費之金額及筆數,['25382']
民眾於屏東縣以信用卡支付網路購物(EC)之金額及筆數,['25393']
民眾於屏東縣以信用卡消費之金額及筆數,['25381']
民眾於彰化縣以信用卡支付網路購物(EC)之金額及筆數,['25395']
民眾於彰化縣以信用卡消費之金額及筆數,['25377']
民眾於新北市以信用卡支付網路購物(EC)之金額及筆數,['25397']
民眾於新北市以信用卡消費之金額及筆數,['25366']
民眾於新竹市以信用卡支付網路購物(EC)之金額及筆數,['25398']
民眾於新竹市以信用卡消費之金額及筆數,['25372']
民眾於新竹縣以信用卡支付網路購物(EC)之金額及筆數,['25399']
民眾於新竹縣以信用卡消費之金額及筆數,['25374']
民眾於桃園市以信用卡支付網路購物(EC)之金額及筆數,['25400']
民眾於桃園市以信用卡消費之金額及筆數,['25367']
民眾於澎湖縣以信用卡支付網路購物(EC)之金額及筆數,['25401']
民眾於澎湖縣以信用卡消費之金額及筆數,['25385']
民眾於臺中市以信用卡支付網路購物(EC)之金額及筆數,['25402']
民眾於臺中市以信用卡消費之金額及筆數,['25368']
民眾於臺北市以信用卡支付網路購物(EC)之金額及筆數,['25403']
民眾於臺北市以信用卡消費之金額及筆數,['25365']
民眾於臺南市以信用卡支付網路購物(EC)之金額及筆數,['25404']
民眾於臺南市以信用卡消費之金額及筆數,['25369']
民眾於臺東縣以信用卡支付網路購物(EC)之金額及筆數,['25405']
民眾於臺東縣以信用卡消費之金額及筆數,['25384']
民眾於花蓮縣以信用卡支付網路購物(EC)之金額及筆數,['25406']
民眾於花蓮縣以信用卡消費之金額及筆數,['25383']
民眾於苗栗縣以信用卡支付網路購物(EC)之金額及筆數,['25407']
民眾於苗栗縣以信用卡消費之金額及筆數,['25375']
民眾於連江縣以信用卡支付網路購物(EC)之金額及筆數,['25408']
民眾於連江縣以信用卡消費之金額及筆數,['25387']
民眾於金門縣以信用卡支付網路購物(EC)之金額及筆數,['25409']
民眾於金門縣以信用卡消費之金額及筆數,['25386']
民眾於雲林縣以信用卡支付網路購物(EC)之金額及筆數,['25410']
民眾於雲林縣以信用卡消費之金額及筆數,['25379']
民眾於高雄市以信用卡支付網路購物(EC)之金額及筆數,['25411']
民眾於高雄市以信用卡消費之金額及筆數,['25370']
求償年度統計資訊(財團法人汽車交通事故特別補償基金),['11521']
求償案例資訊(財團法人汽車交通事故特別補償基金),['14518']
決算(財團法人住宅地震保險基金),['11440']
汽車交通事故相關政府單位資訊連結,['31116']
法令彙整(中華民國保險經紀人商業同業公會),"['20796', '20797']"
活動訊息(中華民國保險代理人商業同業公會),['15308']
海外普通債發行資料下載,['11410']
海外轉換債發行資料下載,['11407']
海外附認股權公司債發行資料下載,['11409']
漁會信用部主要財務資料指標,['11184']
漁會信用部主要財務資料指標-依季別,['11156']
爭議類型統計表--保險業-產物保險公司-理賠(財團法人金融消費評議中心),['11910']
爭議類型統計表-保險業-人壽保險公司-理賠(財團法人金融消費評議中心),['11908']
爭議類型統計表-保險業-人壽保險公司-非理賠(財團法人金融消費評議中心),['11909']
爭議類型統計表-保險業-保險輔助人-理賠(財團法人金融消費評議中心),['11912']
爭議類型統計表-保險業-保險輔助人-非理賠(財團法人金融消費評議中心),['11913']
爭議類型統計表-保險業-產物保險公司-非理賠(財團法人金融消費評議中心),['11911']
爭議類型統計表-證券期貨業(財團法人金融消費評議中心),['11914']
爭議類型統計表-銀行業(財團法人金融消費評議中心),['11907']
特別補償基金統計表,['14505']
特定金錢信託業務共通性費用資訊,['11717']
現金卡發卡銀行差別利率彙整,['11827']
現金卡發卡銀行收取各項費用彙整,['11826']
現金卡重要業務及財務資訊,['45210']
現金卡重要業務及財務資訊揭露,['10529']
理賠教育訓練下載 (財團法人住宅地震保險基金),['13549']
理賠教育訓練統計表 (財團法人住宅地震保險基金),['11431']
理賠文件下載 (財團法人住宅地震保險基金),['13548']
理賠課程清冊 (財團法人住宅地震保險基金),['11432']
產物保險公司聯絡表 (財團法人住宅地震保險基金),['11443']
產險公司據點資訊(財團法人汽車交通事故特別補償基金),['11527']
產險業務員登錄暨異動統計 -公司別,['14524']
產險業務員登錄暨異動統計 -性別,['14525']
產險業務概況,['7193']
產險財務業務指標,['7192']
申請上櫃公司,['11394']
申請案件分析(財團法人汽車交通事故特別補償基金),['11522']
當日沖銷交易標的及統計 > 暫停先賣後買當日沖銷交易標的預告表,['11662']
當日沖銷交易標的及統計 > 暫停先賣後買當日沖銷交易歷史查詢,['11663']
當日沖銷交易標的及統計 > 每日當日沖銷交易標的及統計,['11661']
發卡機構通報以信用卡支付各產業類別詐欺交易型態之金額及筆數,['63034']
發卡機構通報詐欺交易型態之金額及筆數,['62943']
發行人董事、監察人特定股東分戶保管總股數異動統計表,['11451']
發行公司營收創新高一覽表(上櫃),['25037']
發行公司電子投票比率統計資訊,['20644']
發行量加權股價報酬指數,['11871']
發行量加權股價指數歷史資料,['11755']
監察人名單(住宅地震保險基金),['47333']
盤後資訊 > 個股年成交資訊,['11551']
盤後資訊 > 個股日成交資訊,['11549']
盤後資訊 > 個股日收盤價及月平均價,['11548']
盤後資訊 > 個股日本益比、殖利率及股價淨值比(依代碼查詢),['11547']
盤後資訊 > 個股日本益比、殖利率及股價淨值比(依日期查詢),['11764']
盤後資訊 > 個股月成交資訊,['11550']
盤後資訊 > 暫停交易證券,['11677']
盤後資訊 > 每5秒委託成交統計,['11671']
盤後資訊 > 每日市場成交資訊,['11672']
盤後資訊 > 每日成交量前2十名證券,['11673']
盤後資訊 > 每日收盤行情-大盤統計資訊,['11555']
盤後資訊 > 每日第1上市外國股票成交量值,['11759']
盤後資訊 > 盤後定價交易,['11678']
盤後資訊 > 零股交易行情單,['11676']
相關法令 (財團法人住宅地震保險基金),['13543']
相關法令(中華民國保險代理人商業同業公會),['14516']
相關法令(中華民國保險經紀人公會),['15303']
研討會 (財團法人住宅地震保險基金),['13545']
社區大學金融課程,['11692']
票券保管結算交割系統兌償央清款項清算交割統計月報,['20619']
票券保管結算交割系統參加單位一覽表,['20613']
票券保管結算交割系統各類短期票券流通餘額表,['20611']
票券保管結算交割系統次級交易央清款項清算交割統計月報,['20618']
票券保管結算交割系統票券撥轉月報表,['20617']
票券保管結算交割系統票券部位別統計月報表,['20614']
票券保管結算交割系統結算交割時間統計,['20612']
票券保管結算交割統計表,['11464']
票券公會規章,['11688']
票券商業務人員表單,['31541']
票券商業務相連網站,['33279']
票券業務人員測驗,['11691']
票券金融公司排名表,['20392']
票券金融公司資產負債簡表,['28784']
票券金融相關下載,['11689']
票券金融重要法規,['11687']
私募有價證券無實體登錄資料查詢：公司債,['20601']
私募有價證券無實體登錄資料查詢：普通股,['20599']
私募有價證券無實體登錄資料查詢：特別股,['20600']
私募有價證券無實體登錄資料查詢：轉換公司債,['20602']
窗口服務(財團法人汽車交通事故特別補償基金),['11529']
簽證公發會計師事務所及會計師,['11132']
終止上市公司,['11543']
結算會員名冊,['17478']
結算銀行名冊,['17479']
經紀人考試(中華民國保險經紀人公會),['15304']
聯合信用卡處理中心收單特約商店數,['11700']
聯合信用卡處理中心會員機構發卡量,['11699']
聯合信用卡處理中心特約商店分佈比例,['11702']
聯合信用卡處理中心特約商店型態及比例,['11705']
聯合信用卡處理中心簽帳端末機裝機臺數,['11701']
聯合信用卡處理中心電子化政府服務平臺業務統計,['11290']
